SAMPN,geoid
2203687,6.07503E+13
1726579,6.07503E+13
1772050,6.07503E+13
1879356,6.07503E+13
2203711,6.07503E+13
2511599,6.07503E+13
7017231,6.07503E+13
7017673,6.07503E+13
7017241,6.07503E+13
1302167,6.07503E+13
1302149,6.07503E+13
7017181,6.07503E+13
2529345,6.07503E+13
7205247,6.07503E+13
7164122,6.07503E+13
7198609,6.07503E+13
2533347,6.07503E+13
7015935,6.07503E+13
7015943,6.07503E+13
2530501,6.07503E+13
1383839,6.07503E+13
2203197,6.07503E+13
2620781,6.07503E+13
7016092,6.07503E+13
7163418,6.07503E+13
7205399,6.07503E+13
7018228,6.07503E+13
3025475,6.07503E+13
7016218,6.07503E+13
1523796,6.07503E+13
1515268,6.07503E+13
7018091,6.07503E+13
2608570,6.07503E+13
7198824,6.07503E+13
7164659,6.07503E+13
2561307,6.07503E+13
7198848,6.07503E+13
7165074,6.07503E+13
7018569,6.07503E+13
7015279,6.07503E+13
2202754,6.07503E+13
1033944,6.07503E+13
1119137,6.07503E+13
1829827,6.07503E+13
1302642,6.07503E+13
1781042,6.07503E+13
1765859,6.07503E+13
2541852,6.07503E+13
1888807,6.07503E+13
2569287,6.07503E+13
1636867,6.07503E+13
2624800,6.07503E+13
1724202,6.07503E+13
1356459,6.07503E+13
1762541,6.07503E+13
7164127,6.07503E+13
7164355,6.07503E+13
1813482,6.07503E+13
7164171,6.07503E+13
1926045,6.07503E+13
1905596,6.07503E+13
7198538,6.07503E+13
1509357,6.07503E+13
1051795,6.07503E+13
1136853,6.07503E+13
1636416,6.07503E+13
7017593,6.07503E+13
1437624,6.07503E+13
7205027,6.07503E+13
1455993,6.07503E+13
1507894,6.07503E+13
7163557,6.07503E+13
7018622,6.07503E+13
2577289,6.07503E+13
7018655,6.07503E+13
2611946,6.07503E+13
7189866,6.07503E+13
1760263,6.07503E+13
7018549,6.07503E+13
1169219,6.07504E+13
7163770,6.07504E+13
1894408,6.07504E+13
1732038,6.07504E+13
2660737,6.07504E+13
2203391,6.07504E+13
2661567,6.07504E+13
7163711,6.07504E+13
2633234,6.07504E+13
1134076,6.07504E+13
2603325,6.07504E+13
1529807,6.07504E+13
1679006,6.07504E+13
1883961,6.07504E+13
1150210,6.07504E+13
7016552,6.07504E+13
1677850,6.07504E+13
2334026,6.07504E+13
2580146,6.07504E+13
1530456,6.07504E+13
7016828,6.07504E+13
1170470,6.07504E+13
1636178,6.07504E+13
7163699,6.07504E+13
1170890,6.07504E+13
2333457,6.07504E+13
2498119,6.07504E+13
2488186,6.07504E+13
7016667,6.07504E+13
1723134,6.07504E+13
7016841,6.07504E+13
2577021,6.07505E+13
2015280,6.07505E+13
7016607,6.07505E+13
1519189,6.07505E+13
2621640,6.07505E+13
1710214,6.07505E+13
1365175,6.07505E+13
1763284,6.07505E+13
7163829,6.07505E+13
1760352,6.07505E+13
7163816,6.07505E+13
2551983,6.07505E+13
1486394,6.07505E+13
1739739,6.07505E+13
2609297,6.07505E+13
7163937,6.07505E+13
1143740,6.07505E+13
2482887,6.07505E+13
2512461,6.07505E+13
1698307,6.07505E+13
1722758,6.07505E+13
1366888,6.07505E+13
7198432,6.07505E+13
2203666,6.07505E+13
7164045,6.07505E+13
2575772,6.07505E+13
2509301,6.07505E+13
2005124,6.07505E+13
7164119,6.07505E+13
7017091,6.07505E+13
2204161,6.07506E+13
1636670,6.07506E+13
1517469,6.07598E+13
7008651,6.0816E+13
1500933,6.0816E+13
1881523,6.0816E+13
1675810,6.0816E+13
2553651,6.0816E+13
1924465,6.0816E+13
2227129,6.0816E+13
1749926,6.0816E+13
1399317,6.0816E+13
7158604,6.0816E+13
1770962,6.0816E+13
1132467,6.0816E+13
1153489,6.0816E+13
1398509,6.0816E+13
1981480,6.0816E+13
2468758,6.0816E+13
7008864,6.0816E+13
7009083,6.0816E+13
7008835,6.0816E+13
1064644,6.0816E+13
1981712,6.0816E+13
1449548,6.0816E+13
1795590,6.0816E+13
1692684,6.0816E+13
1686023,6.0816E+13
7158174,6.0816E+13
7008581,6.0816E+13
7158058,6.0816E+13
1766006,6.0816E+13
1386726,6.0816E+13
7158105,6.0816E+13
7158512,6.0816E+13
1684607,6.0816E+13
1485821,6.0816E+13
7009251,6.0816E+13
2627576,6.0816E+13
1750298,6.0816E+13
7009260,6.0816E+13
1485392,6.0816E+13
1863971,6.0816E+13
1641419,6.0816E+13
1944503,6.0816E+13
1134860,6.0816E+13
1461500,6.0816E+13
1890755,6.0816E+13
1821753,6.0816E+13
1432536,6.0816E+13
7011009,6.0816E+13
1498504,6.0816E+13
1786231,6.0816E+13
1976538,6.0816E+13
1856825,6.0816E+13
7010866,6.0816E+13
1934818,6.0816E+13
1399120,6.0816E+13
2228569,6.0816E+13
1404512,6.0816E+13
2500429,6.0816E+13
1406526,6.0816E+13
1924285,6.0816E+13
1512573,6.0816E+13
1874515,6.0816E+13
2483965,6.0816E+13
