"TABLE 10a: Weekday Person Trips Per Household"
""
"County","HHUT","VOWN","HH","HO","HS","HW","OO","WO","WW","zTOT"
"Alameda","Multiple","0",0.0288130928076868,1.34717951478477,1.17899360930125,0.418179155617626,1.27000276866005,0.0550303667853701,NA,4.29819850795676
"Alameda","Multiple","1",0.17873865057487,1.94969669479193,0.550112077500058,0.964909496074593,2.02892574851926,0.589033347839093,NA,6.26141601529981
"Alameda","Multiple","2",0.286350096109229,3.62077714024691,1.43843323555975,1.57996796684255,1.60687277128474,1.15688863974785,0.0592401897939132,9.74853003958494
"Alameda","Multiple","3+",0.0252133652060386,2.09506461674805,0.463148232712193,1.70386083590897,1.30767014790371,0.350271925524599,NA,5.94522912400357
"Alameda","Multiple","Subtotal",0.14355958680352,2.04315644768967,0.858440950254248,0.948470652596482,1.70656815834231,0.510382300169858,0.00904619855460378,6.21962429441069
"Alameda","Single","0",0.0146402767145306,1.72085606413277,0.0484343928046384,0.342928675926202,1.07349909086166,0.168307240652803,NA,3.3686657410926
"Alameda","Single","1",0.156862249993946,2.33960699211192,0.560397902949269,0.897052707124259,1.02080245375081,0.374872403990517,0.0274470527231001,5.37704176264382
"Alameda","Single","2",0.466487203730465,3.83819605359922,1.11184782689107,1.7096007254413,2.1026858552666,0.748168902841072,0.0619176364721982,10.0389042042419
"Alameda","Single","3+",0.344381585781837,4.28024362202153,1.10491127285963,2.55597892767399,2.24992307196743,0.825775789531639,0.0688308436960133,11.4300451135321
"Alameda","Single","Subtotal",0.327168130564359,3.41941008977421,0.903137541785276,1.62055967852796,1.78153267747809,0.63347900429292,0.0508769035578889,8.7361640259807
"Alameda","Total","&nbsp;",0.283072962256185,3.08889096065622,0.892403271549302,1.45915172817066,1.76352930453734,0.603916273848534,0.0408309005790077,8.13179540159725
"Alpine","Single","1",NA,0.187760083052263,0.385122201871769,0.135659586782032,NA,NA,NA,0.708541871706064
"Alpine","Single","2",0.206664714826934,4.52240047572669,1.37588170827034,1.4766581958284,0.981295310591723,NA,NA,8.56290040524408
"Alpine","Single","Subtotal",0.111314628236434,2.52250253898263,0.918769303743158,0.857953964690597,0.528549456447599,NA,NA,4.93908989210042
"Alpine","Total","&nbsp;",0.111314628236434,2.52250253898263,0.918769303743158,0.857953964690597,0.528549456447599,NA,NA,4.93908989210042
"Amador","Multiple","0",NA,2.36125175076285,NA,NA,NA,NA,NA,2.36125175076285
"Amador","Multiple","1",1.22578422299247,0.977604651361555,3.34006527303326,1.32687899641554,4.13522111076261,NA,NA,11.0055542545654
"Amador","Multiple","2",NA,5.33730373369018,NA,1.03450706091216,0.193160133281973,2.32278768192552,NA,8.88775860980983
"Amador","Multiple","Subtotal",0.53174001326056,2.73290144276028,1.44890619348814,0.913426745772756,1.85692048324483,0.75853767662269,NA,8.24243255514926
"Amador","Single","1",0.0548542667369234,2.51151375003277,1.05419303980717,1.24918877373472,1.83628137482854,0.216691925069744,NA,6.92272313020986
"Amador","Single","2",NA,3.36999569992913,1.2823657291637,0.479448093871555,2.9734811095046,0.77446241894647,0.00360897968136141,8.88336203109682
"Amador","Single","3+",NA,3.42662822270294,0.546210184392964,1.30055314338282,2.19128832121992,0.146645956734452,0.0162749578677249,7.62760078630083
"Amador","Single","Subtotal",0.0121061788517901,3.12086001262917,0.957503521432663,0.911028284982065,2.39331220003662,0.424691559273048,0.00693755662003507,7.82643931382539
"Amador","Total","&nbsp;",0.0546944507645314,3.08906361299085,0.997778017107021,0.911224858595179,2.34935048166148,0.452052997811546,0.00636896672426691,7.86053338565488
"Butte","Multiple","0",NA,2.26872129243993,0.453006704079398,NA,NA,NA,NA,2.72172799651933
"Butte","Multiple","1",NA,1.79707405588222,1.94816280391524,0.443720497200826,2.45889074590748,0.637024797238091,NA,7.28487290014386
"Butte","Multiple","2",NA,2.18636383687245,NA,2.16743028122802,NA,0.18876482664533,NA,4.54255894474581
"Butte","Multiple","3+",NA,2.15571166114488,1.38724030376948,0.679737660285214,1.43826259355766,0.594963516278684,NA,6.25591573503592
"Butte","Multiple","Subtotal",NA,1.94145691530438,1.49701827773645,0.624900855030089,1.78493036055914,0.516437738186203,NA,6.36474414681627
"Butte","Single","0",NA,0.0653507099522244,0.276623536276762,0.303618361504654,0.309268328723214,NA,NA,0.954860936456854
"Butte","Single","1",0.0895040324064596,2.13710536721015,0.632610042746584,0.909314258357877,1.13137261794828,0.20090002880763,0.0514508991635092,5.15225724664049
"Butte","Single","2",0.523531637998011,3.88706199497655,0.655079446849795,1.36565733259533,1.93568008743099,0.546592424324847,0.0982848215843971,9.01188774575992
"Butte","Single","3+",0.22974586888507,4.66003879962571,1.00059472796901,1.0086923821294,2.20559088107616,0.780142920601717,0.0281925167726324,9.9129980970597
"Butte","Single","Subtotal",0.307015421258409,3.40845459669475,0.714214531258283,1.09258035657003,1.70209062284273,0.48635125236731,0.0623223191253042,7.77302910011682
"Butte","Total","&nbsp;",0.249338495625036,3.13285959294194,0.861274614709744,1.00472054900724,1.7176531681122,0.492003398432263,0.0506142435154342,7.50846406234385
"Calaveras","Multiple","0",NA,0.974527027033717,NA,NA,NA,NA,NA,0.974527027033717
"Calaveras","Multiple","1",NA,0.815774215077294,NA,0.878958870136147,0.386078973432264,NA,NA,2.08081205864571
"Calaveras","Multiple","2",NA,0.760713425829431,NA,1.90765510509704,NA,1.05488832320986,NA,3.72325685413633
"Calaveras","Multiple","3+",NA,0.666821876176517,0.411538190068334,NA,1.13765350015564,NA,NA,2.21601356640049
"Calaveras","Multiple","Subtotal",NA,0.823812352662679,0.0473169070822623,0.801788147181155,0.294047791538301,0.237856830144217,NA,2.20482202860861
"Calaveras","Single","1",NA,1.66335290157165,0.259969682973903,0.637977326468968,0.752571215740267,0.231706349753009,NA,3.54557747650779
"Calaveras","Single","2",0.315873476495765,3.13619949907235,0.894269279555098,0.913297108915778,1.94752792040707,0.540164071684289,NA,7.74733135613035
"Calaveras","Single","3+",0.0310495948814758,2.01131339270902,0.58039658617165,1.37649176943909,1.70753949264385,0.247711559834928,0.0984123920485888,6.05291478772859
"Calaveras","Single","Subtotal",0.14095319841609,2.37146471881339,0.632959876523996,1.00986393985312,1.57893238559709,0.360997615371892,0.0356533800685277,6.1308251146441
"Calaveras","Total","&nbsp;",0.127457472047893,2.22328296003552,0.576886815721838,0.989941483368965,1.4559096298811,0.349207359025301,0.0322397061192088,5.75492542619982
"California","Multiple","0",0.0675268749791819,1.09095026001321,0.332651490548189,0.523680576368487,0.427244941523063,0.0771131499307665,0.00949728560433278,2.52866457896723
"California","Multiple","1",0.207445376158265,1.98472664589285,0.589016516488329,1.02755691688941,1.24355959766089,0.382200636892458,0.0191335281936721,5.45363921817587
"California","Multiple","2",0.446161654519946,3.97608998877202,0.966145793388553,2.12319513360515,1.83415489916204,0.646685065419004,0.0454037756450289,10.0378363105117
"California","Multiple","3+",0.422069268234541,4.41577526225989,1.19294225466578,2.92691187954681,2.21401712047488,0.560029455640139,0.0113906099372516,11.7431358507593
"California","Multiple","Subtotal",0.236919072783797,2.32311395922985,0.640437994176204,1.23817356743826,1.23191269298382,0.378180883838028,0.0221572638459036,6.07089543429585
"California","Single","0",0.0594917676292525,1.52152181692475,0.337777120506826,0.642993792662633,0.523584106606188,0.0767468227480191,0.00466738009254133,3.16678280717021
"California","Single","1",0.193125001833215,2.0345955341331,0.611405615008615,0.850315221100416,1.03835224293153,0.286251950647808,0.0175117589149665,5.03155732456965
"California","Single","2",0.485321516488213,3.91952821215065,0.902491246497678,1.69463907750519,1.87393636472101,0.581943843232695,0.03089006977454,9.48875033036998
"California","Single","3+",0.383100834354204,4.63297614242178,0.999292416064219,2.42692531862008,2.19570929071448,0.866562997532456,0.0635621974049974,11.5681291971122
"California","Single","Subtotal",0.366486518956987,3.55195458011604,0.83565556218075,1.64727513521369,1.70324256889585,0.568877426393082,0.0357802836510379,8.70927207540744
"California","Total","&nbsp;",0.336709597350896,3.26954497866725,0.790791065810009,1.55325626185953,1.59492251489956,0.525051942709284,0.0326494695093939,8.10292583080592
"Colusa","Multiple","2",NA,9.83534681336168,NA,2.8770370781922,NA,NA,NA,12.7123838915539
"Colusa","Multiple","Subtotal",NA,0.375427945415433,NA,0.109820237114805,NA,NA,NA,0.485248182530238
"Colusa","Single","1",0.680649123095089,2.00717245836958,0.200531078276226,0.579398637031131,0.933390049601831,0.81869432521546,NA,5.21983567158931
"Colusa","Single","2",0.406583045106881,5.90801126442997,0.506207351603569,2.47703554942598,2.20298727771847,0.239698713182079,0.168823378554163,11.9093465800211
"Colusa","Single","3+",NA,2.60132281986016,0.494295814811366,2.11859210327984,1.07907306304966,1.17950306909992,NA,7.47278687010095
"Colusa","Single","Subtotal",0.353304267144961,3.53928303452104,0.390244439443793,1.7031500047983,1.40634199125788,0.673671760971333,0.0625638125940258,8.12855931073132
"Colusa","Total","&nbsp;",0.335915020103733,3.38356157043657,0.371037037793109,1.6247280678874,1.3371233868293,0.640514378608264,0.0594844906208433,7.75236395227922
"Contra Costa","Multiple","0",NA,0.781659874151372,0.850551113524111,0.276763944442118,1.28817041056036,0.0850919164253048,NA,3.28223725910326
"Contra Costa","Multiple","1",0.347568567279243,1.84130981924251,0.43034176263309,1.0348864229265,0.956461444739206,0.464031697631441,0.0215764271637595,5.09617614161575
"Contra Costa","Multiple","2",0.426143318475169,2.56397128904147,0.314370681412986,1.81218178379824,1.21376739501937,0.526056059209054,0.0319374352849895,6.88842796224128
"Contra Costa","Multiple","3+",0.288503120131537,7.7790729461161,1.76530845174051,2.49876427456334,6.89533017604404,0.234750800050355,NA,19.4617297686459
"Contra Costa","Multiple","Subtotal",0.277997701708865,2.10077614653022,0.587659563009991,1.10208746560209,1.4497999007845,0.373344106264122,0.0172588150419581,5.90892369894175
"Contra Costa","Single","0",NA,0.329281665403023,0.132121826832094,0.0887740481918329,0.165680735694557,0.0328954307317646,NA,0.748753706853272
"Contra Costa","Single","1",0.117366477631894,1.93753541309739,0.670948060406696,0.876899420537118,1.58886187814436,0.310398939784659,0.012734806571228,5.51474499617335
"Contra Costa","Single","2",0.492904785999704,3.98880720606175,0.868927213333377,1.49186744408786,2.13375937746338,0.560054022587758,0.0145321056801461,9.55085215521397
"Contra Costa","Single","3+",0.522765345875325,4.99104253288346,1.04385566062106,2.23526109226314,2.12920091915184,1.23012252293838,0.0671829832844929,12.2194310570177
"Contra Costa","Single","Subtotal",0.395605016431615,3.68017298550377,0.852980879750678,1.52178786338045,1.94899993393882,0.68101648648982,0.0291510936363703,9.10971425913152
"Contra Costa","Total","&nbsp;",0.377121132514834,3.43194533147613,0.811281361052852,1.45582518537313,1.87054260765916,0.632660815978184,0.0272820304954991,8.60665846454979
"Del Norte","Multiple","1",NA,0.444535313328463,0.0202477192919023,0.138403080437458,0.120662128812179,NA,NA,0.723848241870002
"Del Norte","Multiple","2",NA,2.01579212733343,1.39989347399043,0.224959088036422,1.52485480245537,NA,NA,5.16549949181565
"Del Norte","Multiple","3+",3.46010606835566,24.2795555783577,NA,NA,1.52837028611915,NA,NA,29.2680319328325
"Del Norte","Multiple","Subtotal",0.304221635401561,2.62046443207201,0.167841502645044,0.106378854035095,0.375138877143377,NA,NA,3.57404530129709
"Del Norte","Single","1",0.234544774200463,0.915863142367744,0.323144609483926,0.312590492101603,1.02404889692776,0.154853794986636,NA,2.96504571006813
"Del Norte","Single","2",0.621139016920572,3.24473626926734,2.095906884027,1.17213369939856,1.71491776143407,0.504152322569773,0.0713461598377519,9.42433211345506
"Del Norte","Single","3+",1.32597239864075,7.4272970684636,0.761841274222867,2.60978284252974,2.87912590017707,1.11461968252053,0.215098571465751,16.3337377380203
"Del Norte","Single","Subtotal",0.643221870896496,3.36888626155998,1.13856945305234,1.19346285451493,1.72484477009946,0.518622218572807,0.0791367738455953,8.66674420254162
"Del Norte","Total","&nbsp;",0.574661836307106,3.21752404659799,0.942247637052288,0.973608975753883,1.4518777540988,0.413735101924449,0.0631320063438104,7.63678735807833
"El Dorado","Multiple","0",NA,NA,2.12332686528339,NA,NA,NA,NA,2.12332686528339
"El Dorado","Multiple","1",0.121288971037116,1.44566252811849,0.899543403632664,1.09997656945343,0.35349992514771,0.028203783603342,NA,3.94817518099275
"El Dorado","Multiple","2",NA,4.11919743796062,0.734525282110063,4.13387903356072,1.03872315900302,NA,NA,10.0263249126344
"El Dorado","Multiple","3+",0.950497151873895,NA,NA,2.08007056517768,NA,NA,NA,3.03056771705157
"El Dorado","Multiple","Subtotal",0.195555411090528,1.5359602596849,0.955403345408076,1.68707022903291,0.382256549788249,0.01292043933182,NA,4.76916623433649
"El Dorado","Single","0",NA,NA,0.760697083492707,NA,0.369232038192093,NA,NA,1.1299291216848
"El Dorado","Single","1",0.0733717491594767,2.36761764617874,0.485200070671453,0.84620313784859,0.718099626119688,0.122816334125949,NA,4.6133085641039
"El Dorado","Single","2",0.224331203217319,3.23123308275188,0.544509757041565,1.21750331282437,1.91854237735967,0.894401592115933,0.00398163359274549,8.03450295890349
"El Dorado","Single","3+",0.130352764015841,3.95125650388394,0.679932543824264,1.0380352932049,1.69781996790861,0.934396698375411,0.0327711594358094,8.46456493064878
"El Dorado","Single","Subtotal",0.159182523827853,3.24669254584573,0.58066819124148,1.06443657031323,1.57874487867422,0.737868857853525,0.012668773925159,7.3802623416812
"El Dorado","Total","&nbsp;",0.163628209199254,3.0375978582548,0.626470290508365,1.14053812717679,1.43250378919549,0.649261853521764,0.0111203298188131,7.06112045767527
"Fresno","Multiple","0",NA,1.93509200840509,0.128451879938078,0.678907191494788,0.0936710789740317,NA,NA,2.83612215881199
"Fresno","Multiple","1",0.247536079737077,1.91068230191007,0.384414626621992,1.23166990237513,0.446306391200951,0.262105675272372,NA,4.48271497711759
"Fresno","Multiple","2",0.115292965201908,4.53097710752455,0.915733106278417,1.69602479194316,4.02869181401713,0.24359136239673,NA,11.5303111473619
"Fresno","Multiple","3+",0.724831800795862,1.6156131450041,0.24746587935652,1.44156094972917,NA,NA,NA,4.02947177488565
"Fresno","Multiple","Subtotal",0.164107724876786,2.36939830921668,0.408652981670431,1.16982080140896,0.972316415328237,0.188197825327051,NA,5.27249405782815
"Fresno","Single","0",0.25170090939877,1.73985515832015,0.902989400673372,1.11000307192402,0.349343002647726,NA,NA,4.35389154296404
"Fresno","Single","1",0.545681178460008,2.77362447349972,0.57375401220144,1.35033642970858,2.02660671052792,0.385124731045719,0.00744407080168264,7.66257160624507
"Fresno","Single","2",0.560290421404333,4.11142130567198,1.2844672686836,1.74317808917048,1.84260180998494,0.676097371867101,0.040568725060754,10.2586249918432
"Fresno","Single","3+",0.445865955688441,5.95946541115031,0.84359105984281,3.09094108258488,2.35965017514439,1.21662903326958,0.0443344397231275,13.9604771574035
"Fresno","Single","Subtotal",0.512989407003089,4.07867540129222,0.952537357281716,1.93787957986891,1.95451728652474,0.696103784581521,0.0301084888132901,10.1628113053655
"Fresno","Total","&nbsp;",0.443371545419014,3.73759639915112,0.844007534367883,1.78461670461167,1.75852326390374,0.594753302224285,0.0241004674292654,9.18696921710698
"Glenn","Multiple","1",NA,2.31811454570253,0.067249355749774,3.62832807225306,3.6304656745791,0.11726417518048,1.73123548177381,11.4926573052388
"Glenn","Multiple","2",1.24352982433045,10.7771020738368,NA,1.44660373180029,1.95924427997583,0.275660697932565,NA,15.7021406078759
"Glenn","Multiple","3+",NA,NA,NA,0.48239713818542,NA,NA,NA,0.48239713818542
"Glenn","Multiple","Subtotal",0.6417810511957,6.19922562249831,0.0184855194976669,1.78007290813361,2.00910188196153,0.174501051690151,0.475882436293674,11.2990504712706
