"TABLE 15: Weekday Driver Trips Per Vehicle"
""
"County","INCOM","Single","Multiple","Total"
"Alameda","$0 to $9,999",1.35026188709861,4.23606014692413,1.87287029750514
"Alameda","$10,000 to $24,999",2.97318242052467,1.97814727501898,2.45328840951202
"Alameda","$25,000 to $34,999",2.23404542293112,4.31871112010321,2.71455871481654
"Alameda","$35,000 to $49,999",2.90922461376741,3.32317791580647,2.97679681561307
"Alameda","$50,000 to $74,999",2.55139877565299,4.37243307215675,2.77117468392081
"Alameda","$75,000 to $99,999",3.30767659444189,3.93519739462044,3.36811661957333
"Alameda","$100,000 to $149,999",2.68051979655525,3.65389295236289,2.7645061787938
"Alameda","$150,000 to $199,999",5.99612767121474,5.84648469149187,5.9862720224167
"Alameda","$200,000 to $249,999",4.98645767730353,6.5718074612654,5.03612751019564
"Alameda","$250,000 or more",6.21559375133048,12.7398078172069,6.32114562973679
"Alameda","DK ",3.48009120592709,2.3898340886434,3.2948324748062
"Alameda","RF",4.81092956619838,7.33243607974246,5.00690580321127
"Alameda","Total",3.39377068967978,3.60624612670972,3.42338892944939
"Alpine","$10,000 to $24,999",0.463752340231766,NA,0.463752340231766
"Alpine","$50,000 to $74,999",3.62748281127712,NA,3.62748281127712
"Alpine","$75,000 to $99,999",4.69550768308482,NA,4.69550768308482
"Alpine","Total",1.4574161775112,NA,1.4574161775112
"Amador","$0 to $9,999",NA,2.65768200097375,1.30042329928478
"Amador","$10,000 to $24,999",4.6158492009089,5.4395468114494,4.72777724461814
"Amador","$25,000 to $34,999",3.26909417580422,19.8903109790348,3.66218009789404
"Amador","$35,000 to $49,999",1.1418103394954,2.49280391816421,1.21946912631853
"Amador","$50,000 to $74,999",3.25007824612171,NA,3.25007824612171
"Amador","$75,000 to $99,999",1.86587935769441,NA,1.86587935769441
"Amador","$100,000 to $149,999",1.06433621697542,15.8128510418037,1.17663065892147
"Amador","$150,000 to $199,999",2.56035768097469,NA,2.56035768097469
"Amador","$200,000 to $249,999",0.60470728455304,NA,0.60470728455304
"Amador","$250,000 or more",1.67078455355154,NA,1.67078455355154
"Amador","RF",2.76578942744269,NA,2.76578942744269
"Amador","Total",2.21001317952396,4.2413751064648,2.29629526923538
"Butte","$0 to $9,999",1.18279308165466,NA,0.982997746202635
"Butte","$10,000 to $24,999",1.46939199820698,2.17755931197153,1.84681746205633
"Butte","$25,000 to $34,999",1.45252281368851,3.18186361743667,1.8234544290252
"Butte","$35,000 to $49,999",2.20565361605078,0.453794838618925,2.09807800021124
"Butte","$50,000 to $74,999",2.50428243564568,2.79967243043245,2.5060854368823
"Butte","$75,000 to $99,999",2.62302946525459,1.54053994792748,2.54769077031719
"Butte","$100,000 to $149,999",1.59095539633186,NA,1.59095539633186
"Butte","$150,000 to $199,999",6.86779252015501,NA,6.86779252015501
"Butte","$200,000 to $249,999",20.7495205577081,NA,20.7495205577081
"Butte","$250,000 or more",5.03243253108745,NA,5.03243253108745
"Butte","DK ",2.34869291568248,21.6542350888953,2.79744759933765
"Butte","RF",0.637371548376167,15.9975252621516,1.3251553835509
"Butte","Total",2.28809760511608,2.30879865107093,2.29079865298882
"Calaveras","$0 to $9,999",3.56323432142386,NA,3.18308542939068
"Calaveras","$10,000 to $24,999",3.13551948900659,3.14024228011652,3.13625538077633
"Calaveras","$25,000 to $34,999",0.63267193010105,NA,0.532338207117915
"Calaveras","$35,000 to $49,999",1.25135075203882,1.57753908208634,1.27442725237548
"Calaveras","$50,000 to $74,999",1.63112299927075,0.292350448750929,1.50905378933919
"Calaveras","$75,000 to $99,999",1.74068405016082,NA,1.74068405016082
"Calaveras","$100,000 to $149,999",1.56044537938444,NA,1.56044537938444
"Calaveras","$150,000 to $199,999",2.19803952949964,NA,2.19803952949964
"Calaveras","$200,000 to $249,999",2.06696260442127,NA,2.06696260442127
"Calaveras","$250,000 or more",9.28060908797613,NA,9.28060908797613
"Calaveras","DK ",6.81355303071936,NA,6.81355303071936
"Calaveras","RF",9.78925100748266,NA,9.78925100748266
"Calaveras","Total",1.9227014385068,1.38346362709459,1.89067289035777
"Colusa","$0 to $9,999",1.51570274871751,NA,1.51570274871751
"Colusa","$10,000 to $24,999",1.8097005622988,NA,1.8097005622988
"Colusa","$25,000 to $34,999",1.89488025091977,NA,1.89488025091977
"Colusa","$35,000 to $49,999",4.40131843636282,NA,4.40131843636282
"Colusa","$50,000 to $74,999",2.30445032227625,7.07947018235027,2.33566369314099
"Colusa","$75,000 to $99,999",7.53996158485627,NA,7.33364183998085
"Colusa","$100,000 to $149,999",1.58998246485495,NA,1.58998246485495
"Colusa","DK ",0.472921994738687,NA,0.472921994738687
"Colusa","RF",8.03949101841142,NA,8.03949101841142
"Colusa","Total",3.19805599814986,2.49055621091603,3.19417488219353
"Contra Costa","$0 to $9,999",2.97730809499169,1.1254742415866,2.53047892309363
"Contra Costa","$10,000 to $24,999",3.32682618967139,2.00425915578613,2.99877910657298
"Contra Costa","$25,000 to $34,999",2.41061476712104,4.90002523302168,3.02894316503694
"Contra Costa","$35,000 to $49,999",3.58232079680306,4.61108952003984,3.74248732625552
"Contra Costa","$50,000 to $74,999",2.62438903901751,4.17552840082568,2.81426158848179
"Contra Costa","$75,000 to $99,999",3.24858461406783,4.72844754892649,3.30985964706054
"Contra Costa","$100,000 to $149,999",3.3920888298361,2.26860441931219,3.35340922329011
"Contra Costa","$150,000 to $199,999",5.58062081167193,17.2915962565514,5.84687138607642
"Contra Costa","$200,000 to $249,999",3.65613488078156,5.23801804242381,3.67830019765111
