"TABLE 6: Employees per Household by County"
""
"County","Employed"
"California",1.2
"Alameda",1.22000034818849
"Alpine",1.18570847851336
"Amador",0.946589529256382
"Butte",0.973991162409368
"Calaveras",0.937485995223615
"Colusa",1.16767895971853
"Contra Costa",1.22278588673415
"Del Norte",0.839597447561476
"El Dorado",1.16348591625822
"Fresno",1.15170351523685
"Glenn",1.07102089549044
"Humboldt",1.00619986133808
"Imperial",1.08220959888154
"Inyo",1.01622281704761
"Kern",1.14271015976966
"Kings",1.25018531015991
"Lake",0.866168962208007
"Lassen",1.02127338430846
"Los Angeles",1.27211038114279
"Madera",1.03465287748191
"Marin",1.1296897304316
"Mariposa",0.861157237772275
"Mendocino",1.02030328856386
"Merced",1.16362960967792
"Modoc",0.965385444226269
"Mono",1.32198804949266
"Monterey",1.26901109617433
"Napa",1.19787246677618
"Nevada",1.04727296724207
"Orange",1.34568259847823
"Placer",1.16821391305071
"Plumas",0.894451704667135
"Riverside",1.19668059839764
"Sacramento",1.15864793060468
"San Benito",1.30489202051577
"San Bernardino",1.26193171342682
"San Diego",1.23360407449431
"San Francisco",1.17937875958048
"San Joaquin",1.19201778604437
"San Luis Obispo",1.11988949079181
"San Mateo",1.3011606196865
"Santa Barbara",1.23438004847332
"Santa Clara",1.29692077370734
"Santa Cruz",1.23043348886312
"Shasta",0.937594842720294
"Sierra",0.944328462073765
"Siskiyou",0.840442841033374
"Solano",1.27075022913675
"Sonoma",1.18409625705211
"Stanislaus",1.17358060827936
"Sutter",1.1411520320462
"Tehama",0.928123965173586
"Trinity",0.836474783494651
"Tulare",1.18187469339601
"Tuolumne",0.906810002534056
"Ventura",1.34978792325122
"Yolo",1.18392692967638
"Yuba",1.06372058690817
