"TABLE D: Weekday Mode Share Information"
""
"Commuter Mode Share---Weekday Trips","24 Hours","AM"
"Drove Alone",68.8680995751933,62.7978651669657
"Carpooled or Van Pooled",18.7133008639401,24.6552667406978
"Public Transit",6.91905222603788,7.34971705049605
"Walk",2.87138984517945,2.49910553714751
"Bicycle",2.06397322282571,2.10146486329187
"Others",0.564184266823565,0.596580641401051
"Total",100,100
