"TABLE 22: Vehicles in Use on Average Weekday Distributed by Age of Vehicle and by County"
""
"County","Model Year","Age of Vehicle","Num of Veh in Use","Percent of Vehicles","Cumulative Percent"
"San Francisco","2010","3",9052,4.1,13.3
"San Francisco","2009","4",9946,4.5,17.8
"San Francisco","2008","5",13110,6,23.7
"San Francisco","2007","6",14663,6.7,30.4
"San Francisco","2006","7",12293,5.6,36
"San Francisco","2005","8",15150,6.9,42.9
"San Francisco","2004","9",16552,7.5,50.4
"San Francisco","2003","10",9917,4.5,54.9
"San Francisco","2002","11",14431,6.6,61.4
"San Francisco","2001","12",14099,6.4,67.8
"San Francisco","2000","13",11793,5.4,73.2
"San Francisco","1999","14",8996,4.1,77.3
"San Francisco","1998","15",7430,3.4,80.7
"San Francisco","1997","16",3954,1.8,82.5
"San Francisco","1996","17",6068,2.8,85.2
"San Francisco","1995","18",2945,1.3,86.5
"San Francisco","1994","19",3406,1.5,88.1
"San Francisco","1993","20",2370,1.1,89.2
"San Francisco","1992","21",4215,1.9,91.1
"San Francisco","1991 or Earlier",">21",10490,4.8,95.8
"San Francisco","Not Known","Unknown",9141,4.2,100
"San Francisco",NA,"TOTAL",220140,NA,NA
"San Joaquin","2012","1",8287,3.2,3.2
"San Joaquin","2011","2",8465,3.2,6.4
"San Joaquin","2010","3",7505,2.9,9.3
"San Joaquin","2009","4",12943,5,14.2
"San Joaquin","2008","5",10599,4.1,18.3
"San Joaquin","2007","6",17484,6.7,25
"San Joaquin","2006","7",21241,8.1,33.1
"San Joaquin","2005","8",17615,6.7,39.8
"San Joaquin","2004","9",14312,5.5,45.3
"San Joaquin","2003","10",17309,6.6,51.9
"San Joaquin","2002","11",16856,6.4,58.4
"San Joaquin","2001","12",11982,4.6,63
"San Joaquin","2000","13",13111,5,68
"San Joaquin","1999","14",12156,4.7,72.6
"San Joaquin","1998","15",11928,4.6,77.2
"San Joaquin","1997","16",10084,3.9,81.1
"San Joaquin","1996","17",9716,3.7,84.8
"San Joaquin","1995","18",7184,2.7,87.5
"San Joaquin","1994","19",5210,2,89.5
"San Joaquin","1993","20",2353,0.9,90.4
"San Joaquin","1992","21",1827,0.7,91.1
"San Joaquin","1991 or Earlier",">21",13398,5.1,96.2
"San Joaquin","Not Known","Unknown",9826,3.8,100
"San Joaquin",NA,"TOTAL",261391,NA,NA
"San Luis Obispo","2013","<1",76,0.1,0.1
"San Luis Obispo","2012","1",2019,1.6,1.6
"San Luis Obispo","2011","2",3523,2.8,4.4
"San Luis Obispo","2010","3",5012,3.9,8.3
"San Luis Obispo","2009","4",9000,7.1,15.4
"San Luis Obispo","2008","5",4329,3.4,18.8
"San Luis Obispo","2007","6",11145,8.7,27.5
"San Luis Obispo","2006","7",8899,7,34.5
"San Luis Obispo","2005","8",8747,6.9,41.4
"San Luis Obispo","2004","9",7228,5.7,47
"San Luis Obispo","2003","10",9296,7.3,54.3
"San Luis Obispo","2002","11",8314,6.5,60.9
"San Luis Obispo","2001","12",8387,6.6,67.4
"San Luis Obispo","2000","13",6112,4.8,72.2
"San Luis Obispo","1999","14",5615,4.4,76.6
"San Luis Obispo","1998","15",5084,4,80.6
"San Luis Obispo","1997","16",3717,2.9,83.5
"San Luis Obispo","1996","17",2046,1.6,85.1
"San Luis Obispo","1995","18",2073,1.6,86.8
"San Luis Obispo","1994","19",1730,1.4,88.1
"San Luis Obispo","1993","20",1316,1,89.2
"San Luis Obispo","1992","21",1007,0.8,89.9
"San Luis Obispo","1991 or Earlier",">21",10115,7.9,97.9
"San Luis Obispo","Not Known","Unknown",2708,2.1,100
"San Luis Obispo",NA,"TOTAL",127497,NA,NA
"San Mateo","2013","<1",1322,0.4,0.4
"San Mateo","2012","1",15765,4.7,5
"San Mateo","2011","2",13689,4,9.1
"San Mateo","2010","3",18251,5.4,14.5
"San Mateo","2009","4",15156,4.5,18.9
"San Mateo","2008","5",16394,4.8,23.8
"San Mateo","2007","6",22366,6.6,30.4
"San Mateo","2006","7",26453,7.8,38.2
"San Mateo","2005","8",25248,7.5,45.6
"San Mateo","2004","9",23817,7,52.7
"San Mateo","2003","10",18767,5.5,58.2
"San Mateo","2002","11",17975,5.3,63.5
"San Mateo","2001","12",19821,5.9,69.4
"San Mateo","2000","13",22569,6.7,76
"San Mateo","1999","14",14040,4.1,80.2
"San Mateo","1998","15",10253,3,83.2
"San Mateo","1997","16",6678,2,85.2
"San Mateo","1996","17",5367,1.6,86.8
"San Mateo","1995","18",9608,2.8,89.6
"San Mateo","1994","19",3629,1.1,90.7
"San Mateo","1993","20",2459,0.7,91.4
"San Mateo","1992","21",5321,1.6,93
"San Mateo","1991 or Earlier",">21",13103,3.9,96.8
"San Mateo","Not Known","Unknown",10736,3.2,100
"San Mateo",NA,"TOTAL",338785,NA,NA
"Santa Barbara","2012","1",2870,1.6,1.6
"Santa Barbara","2011","2",4473,2.5,4.1
"Santa Barbara","2010","3",6408,3.6,7.7
"Santa Barbara","2009","4",5944,3.3,11.1
"Santa Barbara","2008","5",9715,5.5,16.5
"Santa Barbara","2007","6",12633,7.1,23.6
"Santa Barbara","2006","7",12272,6.9,30.5
"Santa Barbara","2005","8",12466,7,37.5
"Santa Barbara","2004","9",10627,6,43.5
"Santa Barbara","2003","10",9581,5.4,48.9
"Santa Barbara","2002","11",8887,5,53.9
"Santa Barbara","2001","12",14373,8.1,61.9
"Santa Barbara","2000","13",11415,6.4,68.4
"Santa Barbara","1999","14",5661,3.2,71.5
"Santa Barbara","1998","15",4827,2.7,74.3
"Santa Barbara","1997","16",5210,2.9,77.2
"Santa Barbara","1996","17",5808,3.3,80.4
"Santa Barbara","1995","18",6887,3.9,84.3
"Santa Barbara","1994","19",4337,2.4,86.7
"Santa Barbara","1993","20",3902,2.2,88.9
"Santa Barbara","1992","21",1005,0.6,89.5
"Santa Barbara","1991 or Earlier",">21",14371,8.1,97.6
"Santa Barbara","Not Known","Unknown",4310,2.4,100
"Santa Barbara",NA,"TOTAL",177983,NA,NA
"Santa Clara","2013","<1",2596,0.3,0.3
"Santa Clara","2012","1",30214,3.8,4.1
"Santa Clara","2011","2",32117,4,8.2
"Santa Clara","2010","3",37321,4.7,12.9
"Santa Clara","2009","4",37255,4.7,17.6
"Santa Clara","2008","5",46042,5.8,23.4
"Santa Clara","2007","6",50598,6.4,29.8
"Santa Clara","2006","7",54390,6.9,36.6
"Santa Clara","2005","8",56903,7.2,43.8
"Santa Clara","2004","9",43056,5.4,49.2
"Santa Clara","2003","10",53784,6.8,56
"Santa Clara","2002","11",47769,6,62
"Santa Clara","2001","12",48891,6.2,68.2
"Santa Clara","2000","13",50422,6.4,74.5
"Santa Clara","1999","14",38855,4.9,79.4
"Santa Clara","1998","15",32657,4.1,83.6
"Santa Clara","1997","16",24305,3.1,86.6
"Santa Clara","1996","17",15479,2,88.6
"Santa Clara","1995","18",15404,1.9,90.5
"Santa Clara","1994","19",13742,1.7,92.2
"Santa Clara","1993","20",5819,0.7,93
"Santa Clara","1992","21",5424,0.7,93.7
"Santa Clara","1991 or Earlier",">21",30646,3.9,97.5
"Santa Clara","Not Known","Unknown",19662,2.5,100
"Santa Clara",NA,"TOTAL",793351,NA,NA
"Santa Cruz","2013","<1",151,0.1,0.1
"Santa Cruz","2012","1",1919,1.6,1.8
"Santa Cruz","2011","2",2167,1.9,3.6
"Santa Cruz","2010","3",3318,2.9,6.5
"Santa Cruz","2009","4",6095,5.2,11.7
"Santa Cruz","2008","5",6565,5.6,17.4
"Santa Cruz","2007","6",10237,8.8,26.2
"Santa Cruz","2006","7",7031,6,32.2
"Santa Cruz","2005","8",5685,4.9,37.1
"Santa Cruz","2004","9",6358,5.5,42.6
"Santa Cruz","2003","10",9258,8,50.5
"Santa Cruz","2002","11",8818,7.6,58.1
"Santa Cruz","2001","12",10013,8.6,66.7
"Santa Cruz","2000","13",5924,5.1,71.8
"Santa Cruz","1999","14",3429,2.9,74.7
"Santa Cruz","1998","15",3011,2.6,77.3
"Santa Cruz","1997","16",3224,2.8,80.1
"Santa Cruz","1996","17",4698,4,84.1
"Santa Cruz","1995","18",3725,3.2,87.3
"Santa Cruz","1994","19",1913,1.6,89
"Santa Cruz","1993","20",1406,1.2,90.2
"Santa Cruz","1992","21",835,0.7,90.9
"Santa Cruz","1991 or Earlier",">21",6094,5.2,96.1
"Santa Cruz","Not Known","Unknown",4513,3.9,100
"Santa Cruz",NA,"TOTAL",116385,NA,NA
"Shasta","2012","1",705,0.9,0.9
"Shasta","2011","2",2879,3.6,4.5
"Shasta","2010","3",4679,5.8,10.3
"Shasta","2009","4",1450,1.8,12.1
"Shasta","2008","5",4235,5.3,17.4
"Shasta","2007","6",2142,2.7,20.1
"Shasta","2006","7",6757,8.4,28.5
"Shasta","2005","8",7330,9.2,37.7
"Shasta","2004","9",6071,7.6,45.3
"Shasta","2003","10",4079,5.1,50.4
"Shasta","2002","11",2937,3.7,54
"Shasta","2001","12",6176,7.7,61.7
"Shasta","2000","13",6088,7.6,69.3
"Shasta","1999","14",4233,5.3,74.6
"Shasta","1998","15",4767,6,80.6
"Shasta","1997","16",1046,1.3,81.9
"Shasta","1996","17",1585,2,83.9
"Shasta","1995","18",1398,1.7,85.6
"Shasta","1994","19",812,1,86.6
"Shasta","1993","20",1916,2.4,89
"Shasta","1992","21",2031,2.5,91.5
"Shasta","1991 or Earlier",">21",5130,6.4,98
"Shasta","Not Known","Unknown",1638,2,100
"Shasta",NA,"TOTAL",80085,NA,NA
"Sierra","2011","2",35,4,4
"Sierra","2009","4",57,6.5,10.5
"Sierra","2008","5",17,1.9,12.5
"Sierra","2006","7",13,1.5,14
"Sierra","2005","8",76,8.7,22.7
"Sierra","2004","9",7,0.8,23.4
"Sierra","2003","10",168,19.2,42.6
"Sierra","2001","12",81,9.2,51.9
"Sierra","2000","13",188,21.4,73.3
"Sierra","1999","14",99,11.3,84.6
"Sierra","1994","19",1,0.1,84.7
"Sierra","1991 or Earlier",">21",134,15.3,100
"Sierra",NA,"TOTAL",876,NA,NA
"Siskiyou","2011","2",191,1.1,1.1
"Siskiyou","2010","3",182,1.1,2.2
"Siskiyou","2009","4",1171,6.9,9.1
"Siskiyou","2008","5",1784,10.5,19.7
"Siskiyou","2007","6",978,5.8,25.5
"Siskiyou","2006","7",611,3.6,29.1
"Siskiyou","2005","8",639,3.8,32.8
"Siskiyou","2004","9",1720,10.2,43
"Siskiyou","2003","10",519,3.1,46.1
"Siskiyou","2002","11",126,0.7,46.8
"Siskiyou","2001","12",2458,14.5,61.3
"Siskiyou","2000","13",692,4.1,65.4
"Siskiyou","1999","14",906,5.4,70.8
"Siskiyou","1998","15",447,2.6,73.4
"Siskiyou","1997","16",568,3.4,76.8
"Siskiyou","1996","17",945,5.6,82.4
"Siskiyou","1995","18",271,1.6,84
"Siskiyou","1994","19",330,1.9,85.9
"Siskiyou","1993","20",131,0.8,86.7
"Siskiyou","1992","21",128,0.8,87.5
"Siskiyou","1991 or Earlier",">21",1449,8.6,96
"Siskiyou","Not Known","Unknown",674,4,100
"Siskiyou",NA,"TOTAL",16919,NA,NA
"Solano","2013","<1",256,0.1,0.1
"Solano","2012","1",4594,2.5,2.7
"Solano","2011","2",7171,4,6.7
"Solano","2010","3",9693,5.4,12
"Solano","2009","4",7663,4.2,16.3
"Solano","2008","5",9120,5.1,21.3
"Solano","2007","6",10163,5.6,26.9
"Solano","2006","7",15003,8.3,35.3
"Solano","2005","8",21149,11.7,47
"Solano","2004","9",14191,7.9,54.8
"Solano","2003","10",9459,5.2,60.1
"Solano","2002","11",11278,6.2,66.3
"Solano","2001","12",11630,6.4,72.7
"Solano","2000","13",5550,3.1,75.8
"Solano","1999","14",9097,5,80.9
"Solano","1998","15",8146,4.5,85.4
"Solano","1997","16",2363,1.3,86.7
"Solano","1996","17",1219,0.7,87.3
"Solano","1995","18",4807,2.7,90
"Solano","1994","19",1713,0.9,91
"Solano","1993","20",2216,1.2,92.2
"Solano","1992","21",1965,1.1,93.3
"Solano","1991 or Earlier",">21",6406,3.5,96.8
"Solano","Not Known","Unknown",5747,3.2,100
"Solano",NA,"TOTAL",180598,NA,NA
"Sonoma","2013","<1",225,0.1,0.1
"Sonoma","2012","1",5044,2.1,2.2
"Sonoma","2011","2",7947,3.3,5.6
"Sonoma","2010","3",11837,5,10.5
"Sonoma","2009","4",8931,3.8,14.3
"Sonoma","2008","5",9932,4.2,18.4
"Sonoma","2007","6",13498,5.7,24.1
"Sonoma","2006","7",17576,7.4,31.5
"Sonoma","2005","8",15692,6.6,38.1
"Sonoma","2004","9",15984,6.7,44.8
"Sonoma","2003","10",16231,6.8,51.6
"Sonoma","2002","11",16519,6.9,58.6
"Sonoma","2001","12",13607,5.7,64.3
"Sonoma","2000","13",16804,7.1,71.3
"Sonoma","1999","14",9331,3.9,75.3
"Sonoma","1998","15",9440,4,79.2
"Sonoma","1997","16",7665,3.2,82.4
"Sonoma","1996","17",7575,3.2,85.6
"Sonoma","1995","18",3483,1.5,87.1
"Sonoma","1994","19",4919,2.1,89.1
"Sonoma","1993","20",4137,1.7,90.9
"Sonoma","1992","21",2519,1.1,91.9
"Sonoma","1991 or Earlier",">21",11910,5,96.9
"Sonoma","Not Known","Unknown",7266,3.1,100
"Sonoma",NA,"TOTAL",238074,NA,NA
"Stanislaus","2013","<1",372,0.2,0.2
"Stanislaus","2012","1",6300,3.4,3.6
"Stanislaus","2011","2",7087,3.8,7.4
"Stanislaus","2010","3",8114,4.4,11.7
"Stanislaus","2009","4",5970,3.2,15
"Stanislaus","2008","5",9567,5.1,20.1
"Stanislaus","2007","6",9321,5,25.1
"Stanislaus","2006","7",14959,8,33.1
"Stanislaus","2005","8",10740,5.8,38.9
"Stanislaus","2004","9",13857,7.4,46.3
"Stanislaus","2003","10",13188,7.1,53.4
"Stanislaus","2002","11",12232,6.6,60
"Stanislaus","2001","12",7272,3.9,63.9
"Stanislaus","2000","13",15255,8.2,72.1
"Stanislaus","1999","14",8882,4.8,76.9
"Stanislaus","1998","15",6332,3.4,80.3
"Stanislaus","1997","16",3674,2,82.3
"Stanislaus","1996","17",5228,2.8,85.1
"Stanislaus","1995","18",3753,2,87.1
"Stanislaus","1994","19",4545,2.4,89.5
"Stanislaus","1993","20",2382,1.3,90.8
"Stanislaus","1992","21",3269,1.8,92.6
"Stanislaus","1991 or Earlier",">21",7623,4.1,96.6
"Stanislaus","Not Known","Unknown",6244,3.4,100
"Stanislaus",NA,"TOTAL",186167,NA,NA
"Sutter","2012","1",576,1.5,1.5
"Sutter","2011","2",438,1.1,2.6
"Sutter","2010","3",1038,2.7,5.3
"Sutter","2009","4",1388,3.6,8.9
"Sutter","2008","5",804,2.1,11
"Sutter","2007","6",3114,8,19
"Sutter","2006","7",3925,10.1,29.1
"Sutter","2005","8",2303,5.9,35.1
"Sutter","2004","9",4381,11.3,46.4
"Sutter","2003","10",1279,3.3,49.7
"Sutter","2002","11",2542,6.6,56.2
"Sutter","2001","12",2793,7.2,63.4
"Sutter","2000","13",2076,5.4,68.8
"Sutter","1999","14",1920,5,73.8
"Sutter","1998","15",792,2,75.8
"Sutter","1997","16",1267,3.3,79.1
"Sutter","1996","17",2537,6.5,85.6
"Sutter","1995","18",1267,3.3,88.9
"Sutter","1993","20",735,1.9,90.8
"Sutter","1992","21",1282,3.3,94.1
"Sutter","1991 or Earlier",">21",2133,5.5,99.6
"Sutter","Not Known","Unknown",155,0.4,100
"Sutter",NA,"TOTAL",38744,NA,NA
"Tehama","2012","1",330,1.2,1.2
"Tehama","2011","2",1816,6.8,8
"Tehama","2010","3",760,2.8,10.8
"Tehama","2009","4",353,1.3,12.1
"Tehama","2008","5",1541,5.7,17.9
"Tehama","2007","6",996,3.7,21.6
"Tehama","2006","7",709,2.6,24.2
"Tehama","2005","8",3150,11.7,36
"Tehama","2004","9",1338,5,40.9
"Tehama","2003","10",2133,7.9,48.9
"Tehama","2002","11",2406,9,57.9
"Tehama","2001","12",1675,6.2,64.1
"Tehama","2000","13",2335,8.7,72.8
"Tehama","1999","14",1725,6.4,79.2
"Tehama","1998","15",903,3.4,82.6
"Tehama","1997","16",1085,4,86.6
"Tehama","1996","17",720,2.7,89.3
"Tehama","1995","18",760,2.8,92.1
"Tehama","1994","19",386,1.4,93.6
"Tehama","1993","20",127,0.5,94
"Tehama","1991 or Earlier",">21",806,3,97
"Tehama","Not Known","Unknown",795,3,100
"Tehama",NA,"TOTAL",26848,NA,NA
"Trinity","2012","1",199,3.8,3.8
"Trinity","2011","2",327,6.2,9.9
"Trinity","2010","3",19,0.4,10.3
"Trinity","2009","4",17,0.3,10.6
"Trinity","2008","5",305,5.8,16.4
"Trinity","2007","6",188,3.6,19.9
"Trinity","2006","7",495,9.3,29.3
"Trinity","2005","8",175,3.3,32.6
"Trinity","2004","9",211,4,36.6
"Trinity","2003","10",428,8.1,44.6
"Trinity","2002","11",157,3,47.6
"Trinity","2001","12",101,1.9,49.5
"Trinity","2000","13",179,3.4,52.9
"Trinity","1999","14",126,2.4,55.2
"Trinity","1998","15",304,5.7,61
"Trinity","1997","16",43,0.8,61.8
"Trinity","1996","17",257,4.9,66.7
"Trinity","1995","18",168,3.2,69.8
"Trinity","1994","19",207,3.9,73.7
"Trinity","1992","21",50,0.9,74.7
"Trinity","1991 or Earlier",">21",1083,20.5,95.1
"Trinity","Not Known","Unknown",258,4.9,100
"Trinity",NA,"TOTAL",5296,NA,NA
"Tulare","2013","<1",149,0.1,0.1
"Tulare","2012","1",3355,2.2,2.3
"Tulare","2011","2",4039,2.7,5
"Tulare","2010","3",7002,4.6,9.6
"Tulare","2009","4",6134,4,13.6
"Tulare","2008","5",11851,7.8,21.4
"Tulare","2007","6",13958,9.2,30.5
"Tulare","2006","7",11482,7.5,38.1
"Tulare","2005","8",13451,8.8,46.9
"Tulare","2004","9",10288,6.8,53.7
"Tulare","2003","10",9448,6.2,59.9
"Tulare","2002","11",9680,6.4,66.2
"Tulare","2001","12",8230,5.4,71.6
"Tulare","2000","13",7599,5,76.6
"Tulare","1999","14",5936,3.9,80.5
"Tulare","1998","15",4568,3,83.5
"Tulare","1997","16",4533,3,86.5
"Tulare","1996","17",2642,1.7,88.2
"Tulare","1995","18",3603,2.4,90.6
"Tulare","1994","19",1557,1,91.6
"Tulare","1993","20",2040,1.3,92.9
"Tulare","1992","21",1299,0.9,93.8
"Tulare","1991 or Earlier",">21",5665,3.7,97.5
"Tulare","Not Known","Unknown",3788,2.5,100
"Tulare",NA,"TOTAL",152300,NA,NA
"Tuolumne","2012","1",285,1.2,1.2
"Tuolumne","2011","2",871,3.5,4.7
"Tuolumne","2010","3",892,3.6,8.3
"Tuolumne","2009","4",544,2.2,10.5
"Tuolumne","2008","5",331,1.3,11.9
"Tuolumne","2007","6",1489,6,17.9
"Tuolumne","2006","7",1350,5.5,23.4
"Tuolumne","2005","8",1680,6.8,30.2
"Tuolumne","2004","9",1442,5.8,36
"Tuolumne","2003","10",1703,6.9,42.9
"Tuolumne","2002","11",982,4,46.9
"Tuolumne","2001","12",2841,11.5,58.4
"Tuolumne","2000","13",1980,8,66.5
"Tuolumne","1999","14",1818,7.4,73.8
"Tuolumne","1998","15",1004,4.1,77.9
"Tuolumne","1997","16",737,3,80.9
"Tuolumne","1996","17",801,3.2,84.1
"Tuolumne","1995","18",303,1.2,85.4
"Tuolumne","1994","19",639,2.6,88
"Tuolumne","1993","20",545,2.2,90.2
"Tuolumne","1992","21",588,2.4,92.5
"Tuolumne","1991 or Earlier",">21",1495,6.1,98.6
"Tuolumne","Not Known","Unknown",343,1.4,100
"Tuolumne",NA,"TOTAL",24665,NA,NA
"Ventura","2013","<1",167,0,0
"Ventura","2012","1",10680,3,3
"Ventura","2011","2",23361,6.5,9.5
"Ventura","2010","3",21840,6,15.5
"Ventura","2009","4",23588,6.5,22
"Ventura","2008","5",23041,6.4,28.4
"Ventura","2007","6",18919,5.2,33.6
"Ventura","2006","7",25106,6.9,40.5
"Ventura","2005","8",22663,6.3,46.8
"Ventura","2004","9",34498,9.5,56.3
"Ventura","2003","10",28683,7.9,64.3
"Ventura","2002","11",24887,6.9,71.2
"Ventura","2001","12",17018,4.7,75.9
"Ventura","2000","13",18718,5.2,81
"Ventura","1999","14",13192,3.6,84.7
"Ventura","1998","15",7226,2,86.7
"Ventura","1997","16",10038,2.8,89.4
"Ventura","1996","17",4141,1.1,90.6
"Ventura","1995","18",5762,1.6,92.2
"Ventura","1994","19",4901,1.4,93.5
"Ventura","1993","20",3410,0.9,94.5
"Ventura","1992","21",1805,0.5,95
"Ventura","1991 or Earlier",">21",11621,3.2,98.2
"Ventura","Not Known","Unknown",6546,1.8,100
"Ventura",NA,"TOTAL",361809,NA,NA
"Yolo","2012","1",1459,1.7,1.7
"Yolo","2011","2",1910,2.3,4
"Yolo","2010","3",1707,2,6
"Yolo","2009","4",3917,4.6,10.6
"Yolo","2008","5",6352,7.5,18.1
"Yolo","2007","6",3528,4.2,22.3
"Yolo","2006","7",9231,10.9,33.2
"Yolo","2005","8",7321,8.7,41.9
"Yolo","2004","9",6568,7.8,49.6
"Yolo","2003","10",7675,9.1,58.7
"Yolo","2002","11",5658,6.7,65.4
"Yolo","2001","12",3741,4.4,69.8
"Yolo","2000","13",4161,4.9,74.7
"Yolo","1999","14",3057,3.6,78.3
"Yolo","1998","15",4310,5.1,83.4
"Yolo","1997","16",1391,1.6,85.1
"Yolo","1996","17",947,1.1,86.2
"Yolo","1995","18",3351,4,90.2
"Yolo","1994","19",1387,1.6,91.8
"Yolo","1993","20",219,0.3,92.1
"Yolo","1992","21",993,1.2,93.2
"Yolo","1991 or Earlier",">21",4403,5.2,98.4
"Yolo","Not Known","Unknown",1320,1.6,100
"Yolo",NA,"TOTAL",84605,NA,NA
"Yuba","2012","1",447,1.7,1.7
"Yuba","2011","2",391,1.5,3.1
"Yuba","2010","3",443,1.7,4.8
"Yuba","2009","4",796,3,7.8
"Yuba","2008","5",845,3.2,10.9
"Yuba","2007","6",1776,6.7,17.6
"Yuba","2006","7",2228,8.3,26
"Yuba","2005","8",2391,9,34.9
"Yuba","2004","9",2589,9.7,44.6
"Yuba","2003","10",396,1.5,46.1
"Yuba","2002","11",2231,8.4,54.5
"Yuba","2001","12",1789,6.7,61.2
"Yuba","2000","13",2418,9.1,70.2
"Yuba","1999","14",1443,5.4,75.6
"Yuba","1998","15",1245,4.7,80.3
"Yuba","1997","16",2512,9.4,89.7
"Yuba","1996","17",109,0.4,90.1
"Yuba","1995","18",193,0.7,90.8
"Yuba","1994","19",194,0.7,91.6
"Yuba","1993","20",696,2.6,94.2
"Yuba","1992","21",116,0.4,94.6
"Yuba","1991 or Earlier",">21",842,3.2,97.8
"Yuba","Not Known","Unknown",596,2.2,100
"Yuba",NA,"TOTAL",26686,NA,NA
