"TABLE 9: Weekday Trip Type Distribution"
""
"County","Trip.Type","Number","Percent"
"Lake","HW",20943.7513359188,12.19
"Lake","HS",18436.3391299316,10.73
"Lake","WO",5550.49638129808,3.23
"Lake","HH",2202.90297825806,1.28
"Lake","WW",302.339030100624,0.18
"Lake","TOTAL",171855,100.01
"Lassen","HO",35193.7038843412,39.89
"Lassen","OO",24957.877377741,28.29
"Lassen","HS",13525.3219061983,15.33
"Lassen","HW",9691.20647627862,10.98
"Lassen","HH",2892.5610143798,3.28
"Lassen","WO",1967.4906181942,2.23
"Lassen","TOTAL",88228,100
"Los Angeles","HO",11578324.6212225,44.94
"Los Angeles","OO",4616266.6698273,17.92
"Los Angeles","HW",4421903.18340417,17.16
"Los Angeles","HS",3072550.80157035,11.93
"Los Angeles","WO",1167681.22566414,4.53
"Los Angeles","HH",829607.427143821,3.22
"Los Angeles","WW",78873.2657659869,0.31
"Los Angeles","TOTAL",25765207,100.01
"Madera","HO",152869.036626154,44.09
"Madera","OO",70816.2537722061,20.43
"Madera","HW",60384.1498607361,17.42
"Madera","HS",35690.2931786909,10.29
"Madera","WO",17220.5613591733,4.97
"Madera","HH",8450.68722451323,2.44
"Madera","WW",1277.47536278338,0.37
"Madera","TOTAL",346708,100.01
"Marin","HO",321953.591345728,39.71
"Marin","OO",205680.114538475,25.37
"Marin","HW",118027.126862246,14.56
"Marin","HS",69125.8549574899,8.53
"Marin","WO",63540.994527608,7.84
"Marin","HH",30599.4725749759,3.77
"Marin","WW",1842.33553332056,0.23
"Marin","TOTAL",810769,100.01
"Mariposa","HO",17290.971500357,45.95
"Mariposa","OO",8262.89361294,21.96
"Mariposa","HW",6674.53120793858,17.74
"Mariposa","HS",3353.60098448461,8.91
"Mariposa","WO",1251.80788698812,3.33
"Mariposa","HH",700.850232369243,1.86
"Mariposa","WW",95.2261853856515,0.25
"Mariposa","TOTAL",37630,100
"Mendocino","HO",97013.7137680943,40.79
"Mendocino","OO",47023.7518856537,19.77
"Mendocino","HW",46264.8701259492,19.45
"Mendocino","HS",27422.1822718936,11.53
"Mendocino","WO",15834.6226932714,6.66
"Mendocino","HH",4296.11782947543,1.81
"Mendocino","TOTAL",237855,100.01
"Merced","HO",290231.168908975,44.42
"Merced","OO",161616.598182744,24.73
"Merced","HW",85444.5848352985,13.08
"Merced","HS",73307.0370493175,11.22
"Merced","WO",24667.7133165805,3.78
"Merced","HH",14315.9076714184,2.19
"Merced","WW",3828.58531351838,0.59
"Merced","TOTAL",653412,100.01
"Modoc","HO",8771.06241644384,44.88
"Modoc","OO",4368.20388793606,22.35
"Modoc","HW",3379.44400021587,17.29
"Modoc","HS",1778.81112146362,9.1
"Modoc","WO",720.913315038944,3.69
"Modoc","HH",500.981036345117,2.56
"Modoc","WW",23.5000229398823,0.12
"Modoc","TOTAL",19543,99.99
"Mono","HO",14438.4009152956,44.17
"Mono","OO",7339.69594729123,22.46
"Mono","HW",7070.16138050177,21.63
"Mono","HS",2415.91576735082,7.39
"Mono","WO",686.078547973854,2.1
"Mono","HH",440.456266703073,1.35
"Mono","WW",294.776563354798,0.9
"Mono","TOTAL",32685,100
"Monterey","HO",450246.709460459,39.33
"Monterey","OO",259874.51683858,22.7
"Monterey","HW",220329.45465719,19.25
"Monterey","HS",131410.292506438,11.48
"Monterey","WO",50646.6214223925,4.42
"Monterey","HH",28853.6043025409,2.52
"Monterey","WW",3354.46732769982,0.29
"Monterey","TOTAL",1144716,99.99
"Napa","HO",159955.424426205,41.87
"Napa","OO",96725.6440971477,25.32
"Napa","HW",63445.2764670271,16.61
"Napa","HS",28743.0557201387,7.52
"Napa","WO",21256.2786759905,5.56
"Napa","HH",10144.4642080738,2.66
"Napa","WW",1779.41791857257,0.47
"Napa","TOTAL",382050,100.01
"Nevada","HO",109848.233030542,40.83
"Nevada","OO",66579.4815808955,24.75
"Nevada","HW",46490.1725711613,17.28
"Nevada","HS",20619.1044663896,7.66
"Nevada","WO",16174.8563059761,6.01
"Nevada","WW",4766.69154275751,1.77
"Nevada","HH",4536.85307578106,1.69
"Nevada","TOTAL",269015,99.99
"Orange","HO",3688340.11137244,44.87
"Orange","OO",1520917.47855394,18.5
"Orange","HW",1419303.59286571,17.27
"Orange","HS",914641.015377212,11.13
"Orange","WO",420008.938595724,5.11
"Orange","HH",226997.348763568,2.76
"Orange","WW",29578.2515033226,0.36
"Orange","TOTAL",8219787,100
"Placer","HO",430024.357608476,44.63
"Placer","OO",226851.914187266,23.54
"Placer","HW",143385.308179568,14.88
"Placer","HS",94862.3714584704,9.84
"Placer","WO",38332.1985126107,3.98
"Placer","HH",28917.3925488293,3
"Placer","WW",1246.87648779933,0.13
"Placer","TOTAL",963620,100
