"TABLE 54: Daily Travel Statistics by Weekday vs Weekend for each County"
""
"hCTFIP","County","WD","Vehicle Trips per Driver","Pct Works Trip","Pct Non-Work Trips","VMT per Driver","Average Trip Length","Average Trip Duration","Person Trips per Person","Person Miles per Person","Average Person Trip Length"
0,"California","Weekday",3.43899827642086,36.8557347929311,63.1442652070689,33.2461873848723,8.85674119454588,21.3575814859444,3.63926148943381,37.7553627250097,10.4064338650791
0,"California","Sat/Sun",3.35352668147577,13.3012575151085,86.6987424848915,33.2268914902875,9.11037045777419,20.614032251148,3.65942000219496,46.5885235001309,12.7460676840137
1,"Alameda","Weekday",3.62854046010411,35.0903417875953,64.9096582124047,30.2212288464438,7.80148497555246,20.5729729937288,3.8241775527128,42.6253695742982,11.2147246841344
1,"Alameda","Sat/Sun",3.45820612388762,12.5389500204503,87.4610499795497,31.1342331567186,8.45955525702029,22.0761150420816,3.80468673075269,48.9914258946542,12.8981301154948
3,"Alpine","Weekday",3.32123605858777,16.7721927282502,83.2278072717498,42.3217333127345,14.9833546531067,28.8910024962993,3.01876998379824,38.6886590975771,14.058943763017
3,"Alpine","Sat/Sun",1.9013975361698,NA,NA,50.6583853302516,25.3998398799832,37.3036947825635,2.36657588987232,43.2241681925663,18.2644335968868
5,"Amador","Weekday",3.96467183568897,21.4593708452213,78.5406291547787,50.7362085459205,11.3841131924637,20.3820534179512,4.11164248495922,62.8499444851812,15.2858485909444
5,"Amador","Sat/Sun",3.30306466036399,11.1267003903252,88.8732996096748,44.552967870841,11.0864988843768,20.5126897506129,3.56938492460378,53.8386813467193,15.0834618523794
7,"Butte","Weekday",3.6293743755955,30.5945193469047,69.4054806530953,38.9286262154178,9.79134319992701,20.0184840869836,4.08016687181067,38.569122300298,9.49174307556284
7,"Butte","Sat/Sun",3.17324007867182,10.0525647101995,89.9474352898005,41.0896929554236,11.568087090153,23.358471552668,3.56969318760082,50.217747227308,14.1132872499039
9,"Calaveras","Weekday",2.91934144949159,33.3488562409661,66.6511437590339,51.6973872132891,16.7705995458834,30.0615473309616,3.27843183032402,53.1320269507693,16.2065370581514
9,"Calaveras","Sat/Sun",3.14873962894164,14.8297029192555,85.1702970807444,31.2627565823879,9.12156409688946,19.0655127409927,3.6490598658365,34.5154354143264,9.45871996715357
11,"Colusa","Weekday",3.74392443238167,40.1247971425591,59.8752028574409,37.214946000546,9.103265987331,20.2180045040942,3.23177991369593,48.295711618579,15.0489872403482
11,"Colusa","Sat/Sun",3.34733308763595,25.1303527346172,74.8696472653828,47.97193381791,13.3253103906411,23.1453537007382,3.30849638002711,58.1375280725025,17.5721903229122
13,"Contra Costa","Weekday",3.65287629043874,32.8389153827357,67.1610846172643,35.5638123869816,8.9817633828303,21.3045859942711,3.91621831987209,40.7570315120678,10.445911380297
13,"Contra Costa","Sat/Sun",3.57221857874568,10.2895284592183,89.7104715407817,31.2724331363805,8.05188673375004,18.1982345246011,3.89699204029385,32.9169688921673,8.44676318345397
15,"Del Norte","Weekday",3.5682499433962,25.1395147964299,74.8604852035701,34.7683916763773,8.1470057167457,18.0414583416353,3.91939646963804,33.5086720012605,8.56184848884136
15,"Del Norte","Sat/Sun",2.55049037509305,32.5409944754678,67.4590055245322,38.2288371782669,13.4972946207909,26.0375303792604,3.08596990063115,43.5825613468426,14.1228083066944
17,"El Dorado","Weekday",3.33518603553513,35.2552302852527,64.7447697147473,37.0351014560936,10.2609477357937,21.345858641891,3.64306758526683,38.8428579779616,10.67111322448
17,"El Dorado","Sat/Sun",3.38353859856673,27.0898528003658,72.9101471996342,40.3870375962721,10.7526614127457,19.624985248952,3.83781133971848,44.1782597382703,11.5113161715529
19,"Fresno","Weekday",3.39310706485863,39.613179544919,60.386820455081,31.1417264861284,8.30777839269284,18.6795116965061,3.69842009308876,30.2429756678535,8.20642503911546
19,"Fresno","Sat/Sun",3.28068245700729,16.3022484760859,83.6977515239141,29.0318655038566,8.03356071444367,17.2886046793239,3.68807067562811,32.5229516074112,8.81841875274589
21,"Glenn","Weekday",3.30420546260303,43.0304598686656,56.9695401313344,42.3281160181034,11.5992359328475,20.2954764124827,3.37246043291298,36.5030556361767,10.8475058258046
21,"Glenn","Sat/Sun",2.91297527440307,21.4596433372977,78.5403566627023,49.5702763531201,15.4608825974922,24.3167395146426,3.47133295948666,95.9761352961183,27.6482078833231
23,"Humboldt","Weekday",3.68771950281658,32.3076442470102,67.6923557529898,30.3282021415511,7.13218458562615,15.7155179696413,4.00872921991233,30.5381817818951,7.61792081894793
23,"Humboldt","Sat/Sun",3.30282715762065,10.4619627393011,89.5380372606989,41.0208573769205,10.7012315727562,18.7408909586636,3.79550877337186,44.9007008964672,11.853303348295
25,"Imperial","Weekday",3.55217764817598,34.8455390865973,65.1544609134027,51.0093384582641,13.1567546081192,21.241249897472,3.62969825105654,55.0376205634503,15.1740913011345
25,"Imperial","Sat/Sun",3.0622090150874,16.2638544388776,83.7361455611224,38.7321959986277,11.3877675016769,24.0670143033048,3.19330362819849,43.8151035422979,13.8262483210702
27,"Inyo","Weekday",3.51706611159667,32.9669702736105,67.0330297263895,50.0110575137489,12.4247211706637,19.0637526881348,3.84123185274152,49.590896532486,12.9101544591984
27,"Inyo","Sat/Sun",3.15911435026773,22.3426518194016,77.6573481805984,32.0422034346702,9.08629900254809,19.1939549909271,3.46044637728522,39.2037390934745,11.3290988558044
29,"Kern","Weekday",3.48760957963413,38.7206837993268,61.2793162006732,38.4578341205387,10.1083168757455,19.1592181865746,3.76976101517029,43.7567024073697,11.6171566806837
