"TABLE 17a: Weekday Linked and Unlinked Trips Distributed by Particular Travel Mode and Group"
""
"County","TRAVEL MODE GROUP","MODE","Number of Unlinked Trips","Percent of Total Unlinked","Number of Linked Trips","Percent of Total Linked"
"Plumas","Miscelleneous Modes","Walk",4697.24070661987,5.2,2355,3.1
"Plumas","&nbsp;","Bike",3376.46617109699,3.7,3278,4.4
"Plumas","&nbsp;","TOTAL",8073.70687771686,8.9,5633,7.5
"Plumas","ALL GROUPS","TOTAL",90943.1063168469,100,74908,100
"Riverside","Vehicle Driver","Auto / Van / Truck D",4371835.13548423,58.5,3777247,59.5
"Riverside","&nbsp;","Motorcycle / Scooter",11776.9769450205,0.2,11666,0.2
"Riverside","&nbsp;","Rental Car/Vehicle",8062.37235607869,0.1,7977,0.1
"Riverside","&nbsp;","TOTAL",4391674.48478533,58.7,3796890,59.8
"Riverside","Vehicle Passenger","Auto / Van / Truck P",2208581.31463218,29.5,1912527,30.1
"Riverside","&nbsp;","Carpool / Vanpool",53241.7449517772,0.7,49925,0.8
"Riverside","&nbsp;","Private shuttle (Sup",4530.66035077082,0.1,4531,0.1
"Riverside","&nbsp;","Other Private Transi",3067.36062970337,0,2863,0
"Riverside","&nbsp;","Taxi / Hired Car / L",641.47153631558,0,NA,NA
"Riverside","&nbsp;","TOTAL",2270062.55210074,30.4,1969847,31
"Riverside","Local Public Transit","School Bus ",105136.953683904,1.4,96006,1.5
"Riverside","&nbsp;","Local Bus, Rapid Bus",62369.2965474774,0.8,47981,0.8
"Riverside","&nbsp;","ACE, Amtrak, Caltrai",9239.58032344629,0.1,6909,0.1
"Riverside","&nbsp;","Dial-a-Ride / Paratr",3647.52052017623,0,3648,0.1
"Riverside","&nbsp;","Public Transit Shutt",3548.6947540895,0,3221,0.1
"Riverside","&nbsp;","Express Bus / Commut",2482.94325068521,0,3093,0
"Riverside","&nbsp;","Other Bus",300.380618822681,0,300,0
"Riverside","&nbsp;","TOTAL",186725.369698601,2.5,161159,2.5
"Riverside","Intercity Public Transportation","Plane",656.848385704157,0,5655,0.1
"Riverside","&nbsp;","Greyhound Bus",453.542987835127,0,454,0
"Riverside","&nbsp;","TOTAL",1110.39137353928,0,6108,0.1
"Riverside","Miscelleneous Modes","Walk",537643.668606224,7.2,332482,5.2
"Riverside","&nbsp;","Bike",61907.1901925154,0.8,58713,0.9
"Riverside","&nbsp;","Other Non-Motorized ",25437.6053369204,0.3,24609,0.4
"Riverside","&nbsp;","Wheelchair / Mobilit",2894.76877316703,0,1272,0
"Riverside","&nbsp;","TOTAL",627883.232908827,8.4,417076,6.6
"Riverside","ALL GROUPS","TOTAL",7477456.03086704,100,6351079,100
"Sacramento","Vehicle Driver","Auto / Van / Truck D",3223486.85039155,56.5,2728230,58.1
"Sacramento","&nbsp;","Motorcycle / Scooter",14763.2061167145,0.3,14763,0.3
"Sacramento","&nbsp;","Rental Car/Vehicle",2059.19553510675,0,2030,0
"Sacramento","&nbsp;","TOTAL",3240309.25204338,56.8,2745023,58.4
"Sacramento","Vehicle Passenger","Auto / Van / Truck P",1476954.40623593,25.9,1262356,26.9
"Sacramento","&nbsp;","Carpool / Vanpool",40386.9560572802,0.7,39234,0.8
"Sacramento","&nbsp;","Other Private Transi",5484.25132810413,0.1,4285,0.1
"Sacramento","&nbsp;","Taxi / Hired Car / L",2415.84400814019,0,455,0
"Sacramento","&nbsp;","Private shuttle (Sup",2066.2485262867,0,NA,NA
"Sacramento","&nbsp;","TOTAL",1527307.70615574,26.8,1306329,27.8
"Sacramento","Local Public Transit","Metro Blue / Green /",75070.6254848978,1.3,59834,1.3
"Sacramento","&nbsp;","Local Bus, Rapid Bus",50329.0307577086,0.9,29015,0.6
"Sacramento","&nbsp;","School Bus ",38737.5804405068,0.7,36402,0.8
"Sacramento","&nbsp;","Express Bus / Commut",10092.2981544311,0.2,8482,0.2
"Sacramento","&nbsp;","ACE, Amtrak, Caltrai",8370.41696476997,0.1,8120,0.2
"Sacramento","&nbsp;","Dial-a-Ride / Paratr",3867.18338304883,0.1,3867,0.1
"Sacramento","&nbsp;","Amtrak Bus ",2373.33209055721,0,1233,0
"Sacramento","&nbsp;","Public Transit Shutt",437.535821265407,0,438,0
"Sacramento","&nbsp;","BART, Metro Red / Pu",250.188209817544,0,250,0
"Sacramento","&nbsp;","Other Bus",135.875810409418,0,NA,NA
"Sacramento","&nbsp;","TOTAL",189664.067117413,3.3,147643,3.1
"Sacramento","Intercity Public Transportation","Plane",17575.8094348852,0.3,12457,0.3
"Sacramento","&nbsp;","Greyhound Bus",2961.53763710465,0.1,2962,0.1
"Sacramento","&nbsp;","TOTAL",20537.3470719899,0.4,15418,0.3
"Sacramento","Miscelleneous Modes","Walk",531469.67306956,9.3,303115,6.5
"Sacramento","&nbsp;","Bike",189921.403773238,3.3,176096,3.7
"Sacramento","&nbsp;","Other Non-Motorized ",3590.5176714958,0.1,NA,NA
"Sacramento","&nbsp;","Wheelchair / Mobilit",2309.64790395019,0,2310,0
"Sacramento","&nbsp;","Other Rail      ",1468.37250401916,0,1468,0
"Sacramento","&nbsp;","TOTAL",728759.614922264,12.8,482989,10.3
"Sacramento","ALL GROUPS","TOTAL",5706577.98731078,100,4697403,100
"San Benito","Vehicle Driver","Auto / Van / Truck D",107127.766147374,59.3,94778,58.2
"San Benito","&nbsp;","Motorcycle / Scooter",265.695206786275,0.1,266,0.2
"San Benito","&nbsp;","TOTAL",107393.46135416,59.4,95044,58.3
"San Benito","Vehicle Passenger","Auto / Van / Truck P",51196.8457037406,28.3,46885,28.8
"San Benito","&nbsp;","Carpool / Vanpool",2098.61202385876,1.2,2318,1.4
"San Benito","&nbsp;","Private shuttle (Sup",405.299813533171,0.2,405,0.2
"San Benito","&nbsp;","TOTAL",53700.7575411325,29.7,49608,30.4
"San Benito","Local Public Transit","Dial-a-Ride / Paratr",995.425501609217,0.6,995,0.6
"San Benito","&nbsp;","School Bus ",454.133744128592,0.3,247,0.2
"San Benito","&nbsp;","Premium Bus ( Metro ",318.939750119197,0.2,NA,NA
"San Benito","&nbsp;","ACE, Amtrak, Caltrai",318.939750119197,0.2,291,0.2
"San Benito","&nbsp;","Local Bus, Rapid Bus",128.945994139249,0.1,420,0.3
"San Benito","&nbsp;","TOTAL",2216.38474011545,1.2,2189,1.3
"San Benito","Miscelleneous Modes","Walk",15787.1926629027,8.7,14744,9
"San Benito","&nbsp;","Bike",1496.70259360142,0.8,1387,0.9
"San Benito","&nbsp;","Other Non-Motorized ",101.444864889359,0.1,NA,NA
"San Benito","&nbsp;","TOTAL",17385.3401213934,9.6,16131,9.9
"San Benito","ALL GROUPS","TOTAL",180695.943756802,100,162972,100
"San Bernardino","Vehicle Driver","Auto / Van / Truck D",4083332.03056572,56.9,3532745,57.8
"San Bernardino","&nbsp;","Motorcycle / Scooter",18429.2361487649,0.3,17410,0.3
"San Bernardino","&nbsp;","Rental Car/Vehicle",1815.04913006915,0,1749,0
"San Bernardino","&nbsp;","TOTAL",4103576.31584456,57.2,3551904,58.1
"San Bernardino","Vehicle Passenger","Auto / Van / Truck P",2011619.89178828,28,1741456,28.5
"San Bernardino","&nbsp;","Carpool / Vanpool",41544.0657152099,0.6,41799,0.7
"San Bernardino","&nbsp;","Other Private Transi",5077.989958402,0.1,5078,0.1
"San Bernardino","&nbsp;","Private shuttle (Sup",1639.74193556627,0,1121,0
"San Bernardino","&nbsp;","Taxi / Hired Car / L",662.764876382225,0,663,0
"San Bernardino","&nbsp;","TOTAL",2060544.45427384,28.7,1790118,29.3
"San Bernardino","Local Public Transit","Local Bus, Rapid Bus",135191.463285144,1.9,108567,1.8
"San Bernardino","&nbsp;","School Bus ",95613.6784357426,1.3,94378,1.5
"San Bernardino","&nbsp;","ACE, Amtrak, Caltrai",14885.8253640489,0.2,15280,0.2
"San Bernardino","&nbsp;","Premium Bus ( Metro ",3255.75334241909,0,3256,0.1
"San Bernardino","&nbsp;","Other Bus",3017.48765096425,0,2465,0
"San Bernardino","&nbsp;","Express Bus / Commut",2538.40255651235,0,1929,0
"San Bernardino","&nbsp;","Dial-a-Ride / Paratr",1421.79153158881,0,1422,0
"San Bernardino","&nbsp;","Public Transit Shutt",640.701324698437,0,477,0
"San Bernardino","&nbsp;","Metro Blue / Green /",251.381779538768,0,251,0
"San Bernardino","&nbsp;","TOTAL",256816.485270657,3.6,228024,3.7
"San Bernardino","Intercity Public Transportation","Plane",8772.97885338706,0.1,6460,0.1
"San Bernardino","&nbsp;","TOTAL",8772.97885338706,0.1,6460,0.1
"San Bernardino","Miscelleneous Modes","Walk",670071.177643694,9.3,468669,7.7
"San Bernardino","&nbsp;","Bike",58963.3973769117,0.8,54732,0.9
"San Bernardino","&nbsp;","Other Non-Motorized ",13252.3683930514,0.2,9620,0.2
"San Bernardino","&nbsp;","Wheelchair / Mobilit",4984.98958570738,0.1,1268,0
"San Bernardino","&nbsp;","Other Rail      ",1418.91118332168,0,1419,0
"San Bernardino","&nbsp;","TOTAL",748690.844182687,10.4,535708,8.8
"San Bernardino","ALL GROUPS","TOTAL",7178401.07842513,100,6112215,100
"San Diego","Vehicle Driver","Auto / Van / Truck D",6915888.33983745,57.5,5910309,60.6
"San Diego","&nbsp;","Motorcycle / Scooter",43060.4721854691,0.4,43060,0.4
"San Diego","&nbsp;","Rental Car/Vehicle",24344.7715932872,0.2,21147,0.2
"San Diego","&nbsp;","TOTAL",6983293.58361621,58,5974516,61.2
"San Diego","Vehicle Passenger","Auto / Van / Truck P",2699646.39435108,22.4,2375397,24.3
"San Diego","&nbsp;","Carpool / Vanpool",71385.8682697915,0.6,70980,0.7
"San Diego","&nbsp;","Private shuttle (Sup",19969.0979495516,0.2,7572,0.1
"San Diego","&nbsp;","Taxi / Hired Car / L",7861.34937190776,0.1,2659,0
"San Diego","&nbsp;","Other Private Transi",1951.4470666067,0,1951,0
"San Diego","&nbsp;","TOTAL",2800814.15700894,23.3,2458559,25.2
"San Diego","Local Public Transit","Local Bus, Rapid Bus",299701.672639018,2.5,179833,1.8
"San Diego","&nbsp;","School Bus ",85684.9290596209,0.7,80143,0.8
"San Diego","&nbsp;","Metro Blue / Green /",44452.5012787661,0.4,25946,0.3
"San Diego","&nbsp;","ACE, Amtrak, Caltrai",15984.3619861696,0.1,14387,0.1
"San Diego","&nbsp;","Premium Bus ( Metro ",8208.14903382508,0.1,8208,0.1
"San Diego","&nbsp;","Express Bus / Commut",8167.24559189148,0.1,4838,0
"San Diego","&nbsp;","Public Transit Shutt",6076.96773658912,0.1,6077,0.1
"San Diego","&nbsp;","Dial-a-Ride / Paratr",5808.11694726936,0,5808,0.1
"San Diego","&nbsp;","Other Bus",5176.5497961653,0,2618,0
"San Diego","&nbsp;","Street Car / Cable C",4273.51169057831,0,3149,0
"San Diego","&nbsp;","TOTAL",483534.005759894,4,331008,3.4
"San Diego","Intercity Public Transportation","Plane",18453.0424822095,0.2,11783,0.1
"San Diego","&nbsp;","Greyhound Bus",114.546947809918,0,NA,NA
"San Diego","&nbsp;","TOTAL",18567.5894300194,0.2,11783,0.1
"San Diego","Miscelleneous Modes","Walk",1543307.95019385,12.8,805483,8.3
"San Diego","&nbsp;","Bike",162408.345233094,1.3,143131,1.5
"San Diego","&nbsp;","Other Non-Motorized ",18400.1054538333,0.2,18400,0.2
"San Diego","&nbsp;","Other Rail      ",11558.8978877858,0.1,9260,0.1
"San Diego","&nbsp;","Wheelchair / Mobilit",9830.75180264346,0.1,3558,0
"San Diego","&nbsp;","Ferry / Boat",2038.03089964787,0,1672,0
"San Diego","&nbsp;","TOTAL",1747544.08147086,14.5,981504,10.1
"San Diego","ALL GROUPS","TOTAL",12033753.4172859,100,9757370,100
"San Francisco","Vehicle Driver","Auto / Van / Truck D",1586364.62844861,24.8,1288676,31.8
"San Francisco","&nbsp;","Rental Car/Vehicle",22418.2381288042,0.3,18058,0.4
"San Francisco","&nbsp;","Motorcycle / Scooter",18032.2947094017,0.3,18032,0.4
"San Francisco","&nbsp;","TOTAL",1626815.16128681,25.4,1324765,32.7
"San Francisco","Local Public Transit","Local Bus, Rapid Bus",401339.396181436,6.3,271573,6.7
"San Francisco","&nbsp;","BART, Metro Red / Pu",381476.328929973,6,344280,8.5
"San Francisco","&nbsp;","Metro Blue / Green /",147848.978435892,2.3,112271,2.8
"San Francisco","&nbsp;","Express Bus / Commut",43243.8826102425,0.7,39137,1
"San Francisco","&nbsp;","ACE, Amtrak, Caltrai",40884.0244358308,0.6,40601,1
"San Francisco","&nbsp;","Street Car / Cable C",21487.5553839408,0.3,11688,0.3
"San Francisco","&nbsp;","School Bus ",15943.0468729713,0.2,14292,0.4
"San Francisco","&nbsp;","Public Transit Shutt",6229.26472305317,0.1,4644,0.1
"San Francisco","&nbsp;","Other Bus",4026.78385610072,0.1,3414,0.1
"San Francisco","&nbsp;","Dial-a-Ride / Paratr",3462.16176075113,0.1,3110,0.1
"San Francisco","&nbsp;","Amtrak Bus ",472.023800689046,0,NA,NA
"San Francisco","&nbsp;","AirBART / LAX FlyAwa",170.393543579483,0,170,0
"San Francisco","&nbsp;","TOTAL",1066583.84053446,16.6,845182,20.9
"San Francisco","Vehicle Passenger","Auto / Van / Truck P",691748.964295771,10.8,571534,14.1
"San Francisco","&nbsp;","Private shuttle (Sup",39801.4024623001,0.6,24096,0.6
"San Francisco","&nbsp;","Carpool / Vanpool",34250.6245656519,0.5,28057,0.7
"San Francisco","&nbsp;","Taxi / Hired Car / L",28664.0692777643,0.4,19158,0.5
"San Francisco","&nbsp;","Other Private Transi",14373.7172068331,0.2,9983,0.2
"San Francisco","&nbsp;","TOTAL",808838.77780832,12.6,652828,16.1
"San Francisco","Intercity Public Transportation","Plane",2557.656881558,0,12839,0.3
"San Francisco","&nbsp;","TOTAL",2557.656881558,0,12839,0.3
"San Francisco","Miscelleneous Modes","Walk",2727714.55131055,42.6,1082996,26.8
"San Francisco","&nbsp;","Bike",139174.998938025,2.2,103793,2.6
"San Francisco","&nbsp;","Other Rail      ",12159.043575714,0.2,11439,0.3
"San Francisco","&nbsp;","Ferry / Boat",12032.5390392012,0.2,9559,0.2
"San Francisco","&nbsp;","Other Non-Motorized ",6779.2471602797,0.1,1805,0
"San Francisco","&nbsp;","Wheelchair / Mobilit",4963.79028257631,0.1,2229,0.1
"San Francisco","&nbsp;","TOTAL",2902824.17030635,45.3,1211822,29.9
"San Francisco","ALL GROUPS","TOTAL",6407619.6068175,100,4047437,100
"San Joaquin","Vehicle Driver","Auto / Van / Truck D",1367489.47807376,57.2,1209931,57.5
"San Joaquin","&nbsp;","Motorcycle / Scooter",9990.9419915392,0.4,9991,0.5
"San Joaquin","&nbsp;","Rental Car/Vehicle",5457.58284205403,0.2,4201,0.2
"San Joaquin","&nbsp;","TOTAL",1382938.00290736,57.8,1224123,58.2
"San Joaquin","Vehicle Passenger","Auto / Van / Truck P",651358.731049243,27.2,593418,28.2
"San Joaquin","&nbsp;","Carpool / Vanpool",25738.9548224538,1.1,24411,1.2
"San Joaquin","&nbsp;","Other Private Transi",3828.70847176591,0.2,3829,0.2
"San Joaquin","&nbsp;","TOTAL",680926.394343463,28.5,621658,29.5
"San Joaquin","Local Public Transit","Local Bus, Rapid Bus",21503.8137370198,0.9,19635,0.9
"San Joaquin","&nbsp;","School Bus ",7652.67299813394,0.3,6665,0.3
"San Joaquin","&nbsp;","Public Transit Shutt",3420.01984983834,0.1,NA,NA
"San Joaquin","&nbsp;","Metro Blue / Green /",2007.55384837924,0.1,992,0
"San Joaquin","&nbsp;","Express Bus / Commut",1887.25638688425,0.1,1887,0.1
"San Joaquin","&nbsp;","ACE, Amtrak, Caltrai",947.616016887954,0,490,0
"San Joaquin","&nbsp;","Dial-a-Ride / Paratr",674.059883652146,0,674,0
"San Joaquin","&nbsp;","Other Bus",44.5144870079907,0,45,0
"San Joaquin","&nbsp;","TOTAL",38137.5072078036,1.6,33222,1.6
"San Joaquin","Miscelleneous Modes","Walk",265649.542265091,11.1,205552,9.8
"San Joaquin","&nbsp;","Bike",20341.4951549372,0.9,16655,0.8
"San Joaquin","&nbsp;","Wheelchair / Mobilit",1775.8346000766,0.1,799,0
"San Joaquin","&nbsp;","Other Non-Motorized ",1409.48807746812,0.1,1409,0.1
"San Joaquin","&nbsp;","TOTAL",289176.360097573,12.1,224415,10.7
"San Joaquin","ALL GROUPS","TOTAL",2391178.2645562,100,2104056,100
"San Luis Obispo","Vehicle Driver","Auto / Van / Truck D",743315.876564913,63.8,678809,64.3
"San Luis Obispo","&nbsp;","Motorcycle / Scooter",1465.59705291905,0.1,1466,0.1
"San Luis Obispo","&nbsp;","Rental Car/Vehicle",971.082127543884,0.1,590,0.1
"San Luis Obispo","&nbsp;","TOTAL",745752.555745376,64,680864,64.5
"San Luis Obispo","Vehicle Passenger","Auto / Van / Truck P",277840.803475725,23.8,256362,24.3
"San Luis Obispo","&nbsp;","Carpool / Vanpool",5507.77171920228,0.5,5508,0.5
"San Luis Obispo","&nbsp;","Private shuttle (Sup",2136.12351864271,0.2,2136,0.2
"San Luis Obispo","&nbsp;","Taxi / Hired Car / L",486.703584691251,0,487,0
"San Luis Obispo","&nbsp;","Other Private Transi",58.7265526806707,0,59,0
"San Luis Obispo","&nbsp;","TOTAL",286030.128850941,24.5,264551,25.1
"San Luis Obispo","Local Public Transit","School Bus ",11872.4759721666,1,11712,1.1
"San Luis Obispo","&nbsp;","Local Bus, Rapid Bus",6059.4526408781,0.5,4060,0.4
"San Luis Obispo","&nbsp;","ACE, Amtrak, Caltrai",2191.44266072665,0.2,2176,0.2
"San Luis Obispo","&nbsp;","Dial-a-Ride / Paratr",488.951661902029,0,489,0
"San Luis Obispo","&nbsp;","Public Transit Shutt",220.421250809939,0,220,0
"San Luis Obispo","&nbsp;","Express Bus / Commut",148.15833085623,0,148,0
"San Luis Obispo","&nbsp;","Amtrak Bus ",128.059572247575,0,128,0
"San Luis Obispo","&nbsp;","Other Bus",89.3766061101593,0,89,0
"San Luis Obispo","&nbsp;","TOTAL",21198.3386956973,1.8,19024,1.8
"San Luis Obispo","Intercity Public Transportation","Plane",3372.81421361442,0.3,2975,0.3
"San Luis Obispo","&nbsp;","TOTAL",3372.81421361442,0.3,2975,0.3
"San Luis Obispo","Miscelleneous Modes","Walk",87329.7851295349,7.5,67041,6.4
"San Luis Obispo","&nbsp;","Bike",16748.7309596377,1.4,15936,1.5
"San Luis Obispo","&nbsp;","Wheelchair / Mobilit",4714.24550691386,0.4,4714,0.4
"San Luis Obispo","&nbsp;","Other Non-Motorized ",805.196850379666,0.1,556,0.1
"San Luis Obispo","&nbsp;","TOTAL",109597.958446466,9.4,88247,8.4
"San Luis Obispo","ALL GROUPS","TOTAL",1165951.79595209,100,1055661,100
"San Mateo","Vehicle Driver","Auto / Van / Truck D",2125745.21672336,57.6,1758740,60.5
"San Mateo","&nbsp;","Rental Car/Vehicle",7537.38818715309,0.2,4956,0.2
"San Mateo","&nbsp;","Motorcycle / Scooter",6625.99239037214,0.2,5736,0.2
"San Mateo","&nbsp;","TOTAL",2139908.59730089,58,1769432,60.9
"San Mateo","Vehicle Passenger","Auto / Van / Truck P",744078.587221008,20.2,621442,21.4
"San Mateo","&nbsp;","Carpool / Vanpool",31548.0602988999,0.9,28403,1
"San Mateo","&nbsp;","Private shuttle (Sup",18645.5009397007,0.5,8424,0.3
"San Mateo","&nbsp;","Taxi / Hired Car / L",11730.0920385603,0.3,5107,0.2
"San Mateo","&nbsp;","Other Private Transi",1160.00619971643,0,308,0
"San Mateo","&nbsp;","TOTAL",807162.246697885,21.9,663684,22.8
"San Mateo","Local Public Transit","BART, Metro Red / Pu",79923.8871743606,2.2,51397,1.8
"San Mateo","&nbsp;","ACE, Amtrak, Caltrai",53075.9966669092,1.4,47358,1.6
"San Mateo","&nbsp;","Local Bus, Rapid Bus",47561.6845712701,1.3,32758,1.1
"San Mateo","&nbsp;","School Bus ",8844.90732359199,0.2,8416,0.3
"San Mateo","&nbsp;","Other Bus",1409.86521717807,0,640,0
"San Mateo","&nbsp;","Express Bus / Commut",1329.26335291294,0,1166,0
"San Mateo","&nbsp;","Dial-a-Ride / Paratr",1221.42070287661,0,1221,0
"San Mateo","&nbsp;","Public Transit Shutt",976.837184343624,0,NA,NA
"San Mateo","&nbsp;","Metro Blue / Green /",973.739877824743,0,974,0
"San Mateo","&nbsp;","AirBART / LAX FlyAwa",293.92184219596,0,170,0
"San Mateo","&nbsp;","TOTAL",195611.523913464,5.3,144101,5
"San Mateo","Intercity Public Transportation","Plane",35224.269583178,1,9935,0.3
"San Mateo","&nbsp;","TOTAL",35224.269583178,1,9935,0.3
"San Mateo","Miscelleneous Modes","Walk",425075.761628328,11.5,256481,8.8
"San Mateo","&nbsp;","Bike",73843.5938975058,2,51688,1.8
"San Mateo","&nbsp;","Other Rail      ",8897.27111228132,0.2,6817,0.2
"San Mateo","&nbsp;","Other Non-Motorized ",3661.82047040089,0.1,2949,0.1
"San Mateo","&nbsp;","TOTAL",511478.447108515,13.9,317935,10.9
"San Mateo","ALL GROUPS","TOTAL",3689385.08460393,100,2905087,100
"Santa Barbara","Vehicle Driver","Auto / Van / Truck D",1012395.48202772,58.2,890665,58.5
"Santa Barbara","&nbsp;","Motorcycle / Scooter",19941.2543909815,1.1,18686,1.2
"Santa Barbara","&nbsp;","Rental Car/Vehicle",9331.90336159213,0.5,9332,0.6
"Santa Barbara","&nbsp;","TOTAL",1041668.63978029,59.9,918682,60.3
"Santa Barbara","Vehicle Passenger","Auto / Van / Truck P",328751.860754705,18.9,301507,19.8
"Santa Barbara","&nbsp;","Carpool / Vanpool",11656.0337923198,0.7,9980,0.7
"Santa Barbara","&nbsp;","Other Private Transi",2063.46181421358,0.1,1475,0.1
"Santa Barbara","&nbsp;","Private shuttle (Sup",1506.89485803348,0.1,1176,0.1
"Santa Barbara","&nbsp;","Taxi / Hired Car / L",88.7186488197295,0,NA,NA
"Santa Barbara","&nbsp;","TOTAL",344066.969868091,19.8,314139,20.6
"Santa Barbara","Local Public Transit","School Bus ",26198.0166483492,1.5,26198,1.7
"Santa Barbara","&nbsp;","Local Bus, Rapid Bus",12681.3981114545,0.7,11047,0.7
"Santa Barbara","&nbsp;","Express Bus / Commut",10160.433685496,0.6,9545,0.6
"Santa Barbara","&nbsp;","ACE, Amtrak, Caltrai",3817.75157695223,0.2,3551,0.2
"Santa Barbara","&nbsp;","AirBART / LAX FlyAwa",613.255885805514,0,NA,NA
"Santa Barbara","&nbsp;","Other Bus",183.451491763673,0,NA,NA
"Santa Barbara","&nbsp;","TOTAL",53654.3073998211,3.1,50340,3.3
"Santa Barbara","Intercity Public Transportation","Plane",815.063736465477,0,804,0.1
"Santa Barbara","&nbsp;","TOTAL",815.063736465477,0,804,0.1
"Santa Barbara","Miscelleneous Modes","Walk",235594.629105484,13.5,179638,11.8
"Santa Barbara","&nbsp;","Bike",53486.9663372003,3.1,52038,3.4
"Santa Barbara","&nbsp;","Other Non-Motorized ",10891.72873166,0.6,8160,0.5
"Santa Barbara","&nbsp;","TOTAL",299973.324174344,17.2,239836,15.7
"Santa Barbara","ALL GROUPS","TOTAL",1740178.30495901,100,1523801,100
"Santa Clara","Vehicle Driver","Auto / Van / Truck D",4746367.61993434,57.1,3997286,59.1
"Santa Clara","&nbsp;","Rental Car/Vehicle",14766.9094246581,0.2,10915,0.2
"Santa Clara","&nbsp;","Motorcycle / Scooter",14194.7196942505,0.2,13784,0.2
"Santa Clara","&nbsp;","TOTAL",4775329.24905324,57.4,4021985,59.4
"Santa Clara","Vehicle Passenger","Auto / Van / Truck P",1856901.10625523,22.3,1619041,23.9
"Santa Clara","&nbsp;","Carpool / Vanpool",66292.7475889063,0.8,57815,0.9
"Santa Clara","&nbsp;","Private shuttle (Sup",29190.5429540361,0.4,21520,0.3
"Santa Clara","&nbsp;","Taxi / Hired Car / L",5872.07780309525,0.1,4556,0.1
"Santa Clara","&nbsp;","Other Private Transi",5096.72956372311,0.1,3636,0.1
"Santa Clara","&nbsp;","TOTAL",1963353.20416499,23.6,1706567,25.2
"Santa Clara","Local Public Transit","Local Bus, Rapid Bus",133314.764682194,1.6,82059,1.2
"Santa Clara","&nbsp;","ACE, Amtrak, Caltrai",69044.2002456065,0.8,62325,0.9
"Santa Clara","&nbsp;","Metro Blue / Green /",48502.5591291383,0.6,30317,0.4
"Santa Clara","&nbsp;","School Bus ",29734.6019784493,0.4,27767,0.4
"Santa Clara","&nbsp;","Express Bus / Commut",7486.1661141824,0.1,5825,0.1
"Santa Clara","&nbsp;","Other Bus",4086.12809961124,0,204,0
"Santa Clara","&nbsp;","Public Transit Shutt",1506.89284285284,0,419,0
"Santa Clara","&nbsp;","Amtrak Bus ",382.814849214675,0,NA,NA
"Santa Clara","&nbsp;","Dial-a-Ride / Paratr",373.102010605125,0,373,0
"Santa Clara","&nbsp;","Premium Bus ( Metro ",318.939750119197,0,NA,NA
"Santa Clara","&nbsp;","BART, Metro Red / Pu",34.2048781605466,0,12470,0.2
"Santa Clara","&nbsp;","TOTAL",294784.374580134,3.5,221758,3.3
"Santa Clara","Intercity Public Transportation","Plane",7009.60654812681,0.1,6241,0.1
"Santa Clara","&nbsp;","Greyhound Bus",37.089622802095,0,37,0
"Santa Clara","&nbsp;","TOTAL",7046.6961709289,0.1,6278,0.1
"Santa Clara","Miscelleneous Modes","Walk",993330.792233366,11.9,584285,8.6
"Santa Clara","&nbsp;","Bike",241159.693557967,2.9,199537,2.9
"Santa Clara","&nbsp;","Other Rail      ",21309.139198949,0.3,15306,0.2
"Santa Clara","&nbsp;","Other Non-Motorized ",11743.2439166723,0.1,8223,0.1
"Santa Clara","&nbsp;","Wheelchair / Mobilit",5861.10557833414,0.1,3398,0.1
"Santa Clara","&nbsp;","TOTAL",1273403.97448529,15.3,810750,12
"Santa Clara","ALL GROUPS","TOTAL",8313917.49845459,100,6767338,100
"Santa Cruz","Vehicle Driver","Auto / Van / Truck D",621088.025514587,55.1,531535,57
"Santa Cruz","&nbsp;","Motorcycle / Scooter",4932.28622465689,0.4,4102,0.4
"Santa Cruz","&nbsp;","Rental Car/Vehicle",1178.54100459284,0.1,1162,0.1
"Santa Cruz","&nbsp;","TOTAL",627198.852743837,55.6,536799,57.5
"Santa Cruz","Vehicle Passenger","Auto / Van / Truck P",255978.76530685,22.7,219951,23.6
"Santa Cruz","&nbsp;","Carpool / Vanpool",19574.9714128527,1.7,17660,1.9
"Santa Cruz","&nbsp;","Private shuttle (Sup",291.754307676671,0,351,0
"Santa Cruz","&nbsp;","Other Private Transi",174.315018482777,0,174,0
"Santa Cruz","&nbsp;","TOTAL",276019.806045862,24.5,238137,25.5
"Santa Cruz","Local Public Transit","Local Bus, Rapid Bus",23122.8368512966,2,18461,2
"Santa Cruz","&nbsp;","School Bus ",14636.3831568048,1.3,13275,1.4
"Santa Cruz","&nbsp;","Express Bus / Commut",1486.76383302084,0.1,1487,0.2
"Santa Cruz","&nbsp;","Dial-a-Ride / Paratr",1478.4359303158,0.1,1478,0.2
"Santa Cruz","&nbsp;","Other Bus",735.477088219652,0.1,735,0.1
"Santa Cruz","&nbsp;","Street Car / Cable C",424.727220671448,0,425,0
"Santa Cruz","&nbsp;","ACE, Amtrak, Caltrai",282.43664721726,0,NA,NA
"Santa Cruz","&nbsp;","Amtrak Bus ",219.458923262157,0,163,0
"Santa Cruz","&nbsp;","TOTAL",42386.5196508086,3.8,36025,3.9
"Santa Cruz","Intercity Public Transportation","Plane",1547.51149201295,0.1,1929,0.2
"Santa Cruz","&nbsp;","TOTAL",1547.51149201295,0.1,1929,0.2
"Santa Cruz","Miscelleneous Modes","Walk",143219.661038131,12.7,86085,9.2
