"TABLE 13: Weekday Person and Driver Trips Per Household"
""
"County","HHSIZ","Single.nnpt","Multiple.nnpt","Total.nnpt","Single.nndt","Multiple.nndt","Total.nndt"
"Alameda","1",2.53963739528843,2.69389768605695,2.61868747722572,2.0853528850008,1.91978863321818,2.00051013250696
"Alameda","2",4.27584605721619,6.86126051313713,4.63179205346512,3.20994589119534,3.87447004601222,3.30143401286808
"Alameda","3",9.11388756922956,6.78728092987417,8.81577768909508,6.1782473123383,3.99523696944854,5.89853653500144
"Alameda","4",17.6530812534695,15.5952765574393,17.3768673863062,10.3861495345396,7.112814227984,9.94677809890712
"Alameda","5+",17.2826617862162,24.6164248352765,18.3448200153974,8.65942293342609,8.75750700575584,8.673628574361
"Alameda","Total",8.7361640259807,6.21962429441069,8.13179540159725,5.46806366067416,3.30461405121562,4.94849266086498
"Alpine","2",3.02546428042703,NA,3.02546428042703,2.01586925822249,NA,2.01586925822249
"Alpine","3",20.3072376386716,NA,20.3072376386716,20.3072376386716,NA,20.3072376386716
"Alpine","4",3.70009765632915,NA,3.70009765632915,1.16169783445964,NA,1.16169783445964
"Alpine","5+",12.7623578761413,NA,12.7623578761413,8.73154918346943,NA,8.73154918346943
"Alpine","Total",4.93908989210042,NA,4.93908989210042,4.06840424484794,NA,4.06840424484794
"Amador","1",2.11089965009237,5.91852187741853,3.2693116278303,1.96818175293727,5.4808105230293,3.03684639393525
"Amador","2",8.86572635256256,20.2051201447561,8.97701367466575,7.34202926878149,9.702461848004,7.36519507689793
"Amador","3",12.07866322177,65.7282815461815,12.8294141728733,5.93180012840245,36.9754230821522,6.36621196927132
"Amador","4",5.90325520800251,NA,5.90325520800251,4.35471336656389,NA,4.35471336656389
"Amador","5+",8.84349402937214,NA,8.84349402937214,2.54797792415002,NA,2.54797792415002
"Amador","Total",7.82643931382539,8.24243255514926,7.86053338565488,5.53136350970504,6.52360385479113,5.61268577708088
"Butte","1",3.15278455390463,4.04451274005373,3.43204057485367,2.89337400159991,3.77434574413194,3.16926150544842
"Butte","2",5.14886283290051,5.10396798488127,5.141011828802,4.11834557855798,4.3531515570176,4.15940736583592
"Butte","3",8.72504398240445,5.55434863989179,8.33741214411591,6.21803136254065,2.25018344465018,5.73294401850008
"Butte","4",16.5878544436136,3.75761572031105,15.6740640746719,11.2396336936827,0,10.4391287895092
"Butte","5+",16.3188680196193,47.6139917296157,19.2425531007282,6.89252039243482,10.0639778162716,7.18880753420706
"Butte","Total",7.77302910011682,6.36474414681627,7.50846406234385,5.34223368640149,3.91421463311363,5.07396133577517
"Calaveras","1",1.88747150505398,1.68375825642971,1.83435182639829,1.82092330329338,1.10529932285019,1.6343192599326
"Calaveras","2",4.68166027992416,3.2142446828432,4.58313950332517,3.1987950756499,2.85314016759225,3.17558816000526
"Calaveras","3",14.7001361143924,NA,14.7001361143924,11.7987178904097,NA,11.7987178904097
"Calaveras","4",8.37233556325108,NA,8.37233556325108,4.52727606800143,NA,4.52727606800143
