"TABLE 50: Mode Share for Short Distance Trips by county"
""
"oCounty","Mode","< 1 mile","1 to 3 miles"
"Santa Barbara","Bike",2.9,2.3
"Santa Barbara","Transit",0.5,1.5
"Santa Barbara","Walk",55.1,3.4
"Santa Barbara","All Others",41.4,92.8
"Santa Clara","Bike",4.6,4.3
"Santa Clara","Transit",0.9,2.3
"Santa Clara","Walk",44.7,3.5
"Santa Clara","All Others",49.8,89.9
"Santa Cruz","Bike",3.6,3.4
"Santa Cruz","Transit",0.6,2.1
"Santa Cruz","Walk",42,5.7
"Santa Cruz","All Others",53.7,88.8
"Shasta","Bike",2.4,1.2
"Shasta","Walk",29.3,0.9
"Shasta","All Others",68.3,97.9
"Sierra","Bike",1.2,NA
"Sierra","Walk",31.9,25.8
"Sierra","All Others",66.9,74.2
"Siskiyou","Bike",3.8,1.2
"Siskiyou","Transit",NA,0.2
"Siskiyou","Walk",25,3.3
"Siskiyou","All Others",71.2,95.2
"Solano","Bike",1,0.9
"Solano","Transit",0.1,0.6
"Solano","Walk",32.7,2.8
"Solano","All Others",66.2,95.7
"Sonoma","Bike",3.2,2.6
"Sonoma","Transit",0.4,0.7
"Sonoma","Walk",37.1,4.1
"Sonoma","All Others",59.3,92.6
"Stanislaus","Bike",2.1,1.3
"Stanislaus","Transit",1.9,3.5
"Stanislaus","Walk",41.7,3.7
"Stanislaus","All Others",54.3,91.5
"Sutter","Bike",1.3,0.4
"Sutter","Transit",NA,2.4
"Sutter","Walk",22.7,2
"Sutter","All Others",76,95.2
"Tehama","Bike",0.7,1.6
"Tehama","Transit",1.1,1.5
"Tehama","Walk",34.9,2.4
"Tehama","All Others",63.3,94.5
"Trinity","Bike",1,NA
"Trinity","Walk",12.3,5.6
"Trinity","All Others",86.7,94.4
"Tulare","Bike",2,1.4
"Tulare","Transit",1,2
"Tulare","Walk",42.1,5.5
"Tulare","All Others",54.9,91.2
"Tuolumne","Bike",0.8,0.1
"Tuolumne","Transit",NA,0.1
"Tuolumne","Walk",31.6,3.5
"Tuolumne","All Others",67.6,96.3
"Ventura","Bike",2.2,1.1
"Ventura","Transit",0.4,1
"Ventura","Walk",42.1,4.6
"Ventura","All Others",55.3,93.3
"Yolo","Bike",8.8,8.8
"Yolo","Transit",0.5,0.8
"Yolo","Walk",40.9,4.3
"Yolo","All Others",49.8,86.1
"Yuba","Bike",4.3,0.5
"Yuba","Transit",0.4,1.3
"Yuba","Walk",28.7,3
"Yuba","All Others",66.6,95.2
